 0.00000000e+00  1.09262257e-44  0.00000000e+00  7.87974436e-44  0.00000000e+00 -7.61906014e-44  0.00000000e+00  1.12138853e-43  0.00000000e+00  7.65819798e-44  0.00000000e+00  2.05432979e-43 
 1.00000000e-03  1.03315658e-15  1.00000000e-03  1.03909936e-15  1.00000000e-03  1.04603826e-15  1.00000000e-03  1.05584351e-15  1.00000000e-03  1.06109511e-15  1.00000000e-03  1.06838976e-15 
 2.00000000e-03  2.06417186e-15  2.00000000e-03  2.07646400e-15  2.00000000e-03  2.09034179e-15  2.00000000e-03  2.10749929e-15  2.00000000e-03  2.11789408e-15  2.00000000e-03  2.12938662e-15 
 3.00000000e-03  3.08985422e-15  3.00000000e-03  3.11209392e-15  3.00000000e-03  3.12597170e-15  3.00000000e-03  3.14858410e-15  3.00000000e-03  3.16757119e-15  3.00000000e-03  3.19027845e-15 
 4.00000000e-03  4.12057812e-15  4.00000000e-03  4.14598911e-15  4.00000000e-03  4.17374468e-15  4.00000000e-03  4.20666377e-15  4.00000000e-03  4.22727717e-15  4.00000000e-03  4.25789232e-15 
 5.00000000e-03  5.13894211e-15  5.00000000e-03  5.17294541e-15  5.00000000e-03  5.21804822e-15  5.00000000e-03  5.23668294e-15  5.00000000e-03  5.27271911e-15  5.00000000e-03  5.31141158e-15 
 6.00000000e-03  6.16751116e-15  6.00000000e-03  6.20337115e-15  6.00000000e-03  6.24500451e-15  6.00000000e-03  6.28716643e-15  6.00000000e-03  6.31782224e-15  6.00000000e-03  6.36475464e-15 
 7.00000000e-03  7.19940058e-15  7.00000000e-03  7.24420524e-15  7.00000000e-03  7.28583860e-15  7.00000000e-03  7.33736531e-15  7.00000000e-03  7.39032858e-15  7.00000000e-03  7.41784021e-15 
 8.00000000e-03  8.23112737e-15  8.00000000e-03  8.27810043e-15  8.00000000e-03  8.33361158e-15  8.00000000e-03  8.38031359e-15  8.00000000e-03  8.43468633e-15  8.00000000e-03  8.49854583e-15 
 9.00000000e-03  9.24870532e-15  9.00000000e-03  9.29117894e-15  9.00000000e-03  9.35362898e-15  9.00000000e-03  9.40911303e-15  9.00000000e-03  9.47877302e-15  9.00000000e-03  9.50961857e-15 
 1.00000000e-02  1.02731408e-14  1.00000000e-02  1.03320130e-14  1.00000000e-02  1.04083409e-14  1.00000000e-02  1.04514650e-14  1.00000000e-02  1.05086025e-14  1.00000000e-02  1.05760127e-14 
 1.10000000e-02  1.12973595e-14  1.10000000e-02  1.13659082e-14  1.10000000e-02  1.14491749e-14  1.10000000e-02  1.14935188e-14  1.10000000e-02  1.15519031e-14  1.10000000e-02  1.16006380e-14 
 1.20000000e-02  1.23284900e-14  1.20000000e-02  1.23651089e-14  1.20000000e-02  1.24622535e-14  1.20000000e-02  1.25214780e-14  1.20000000e-02  1.26227696e-14  1.20000000e-02  1.26945709e-14 
 1.30000000e-02  1.33454445e-14  1.30000000e-02  1.34336986e-14  1.30000000e-02  1.35030875e-14  1.30000000e-02  1.35630439e-14  1.30000000e-02  1.36516774e-14  1.30000000e-02  1.37603687e-14 
 1.40000000e-02  1.43760871e-14  1.40000000e-02  1.44328993e-14  1.40000000e-02  1.45161660e-14  1.40000000e-02  1.45765561e-14  1.40000000e-02  1.47081783e-14  1.40000000e-02  1.47983839e-14 
 1.50000000e-02  1.53719810e-14  1.50000000e-02  1.54598556e-14  1.50000000e-02  1.55570001e-14  1.50000000e-02  1.56314306e-14  1.50000000e-02  1.56809787e-14  1.50000000e-02  1.58362364e-14 
 1.60000000e-02  1.64092915e-14  1.60000000e-02  1.64729341e-14  1.60000000e-02  1.66117120e-14  1.60000000e-02  1.66305771e-14  1.60000000e-02  1.67644761e-14  1.60000000e-02  1.68461165e-14 
 1.70000000e-02  1.74327241e-14  1.70000000e-02  1.74998904e-14  1.70000000e-02  1.76247905e-14  1.70000000e-02  1.76573166e-14  1.70000000e-02  1.77924624e-14  1.70000000e-02  1.79115078e-14 
 1.80000000e-02  1.84836955e-14  1.80000000e-02  1.85546023e-14  1.80000000e-02  1.85962357e-14  1.80000000e-02  1.87671601e-14  1.80000000e-02  1.88199608e-14  1.80000000e-02  1.89488724e-14 
 1.90000000e-02  1.94790473e-14  1.90000000e-02  1.95815586e-14  1.90000000e-02  1.96787031e-14  1.90000000e-02  1.97656019e-14  1.90000000e-02  1.98749437e-14  1.90000000e-02  1.99861286e-14 
 2.00000000e-02  2.04742365e-14  2.00000000e-02  2.05946371e-14  2.00000000e-02  2.07334150e-14  2.00000000e-02  2.07638811e-14  2.00000000e-02  2.08742528e-14  2.00000000e-02  2.10232222e-14 
 2.10000000e-02  2.15110048e-14  2.10000000e-02  2.15938378e-14  2.10000000e-02  2.17048601e-14  2.10000000e-02  2.18174545e-14  2.10000000e-02  2.19011007e-14  2.10000000e-02  2.20879630e-14 
 2.20000000e-02  2.25059229e-14  2.20000000e-02  2.26763053e-14  2.20000000e-02  2.27873276e-14  2.20000000e-02  2.28431640e-14  2.20000000e-02  2.29555415e-14  2.20000000e-02  2.30693286e-14 
 2.30000000e-02  2.35286508e-14  2.30000000e-02  2.36477504e-14  2.30000000e-02  2.37865283e-14  2.30000000e-02  2.38685482e-14  2.30000000e-02  2.39817931e-14  2.30000000e-02  2.42170650e-14 
 2.40000000e-02  2.45511077e-14  2.40000000e-02  2.47024623e-14  2.40000000e-02  2.47857290e-14  2.40000000e-02  2.48937698e-14  2.40000000e-02  2.50358003e-14  2.40000000e-02  2.51425400e-14 
