 time            v(n.x4.xr1.n1#ngap) i(v10)         
 9.82800000e-08  2.65130452e+00 -6.09580225e-07 
 9.92800000e-08  2.65130452e+00 -6.09580223e-07 
 1.00280000e-07  2.65130452e+00 -6.09580193e-07 
 1.01280000e-07  2.65130452e+00 -6.09580220e-07 
 1.02280000e-07  2.65130452e+00 -6.09580215e-07 
 1.03280000e-07  2.65130452e+00 -6.09580258e-07 
 1.04280000e-07  2.65130452e+00 -6.09580247e-07 
 1.05280000e-07  2.65130452e+00 -6.09580250e-07 
 1.06280000e-07  2.65130452e+00 -6.09580220e-07 
 1.07280000e-07  2.65130452e+00 -6.09580191e-07 
 1.08280000e-07  2.65130452e+00 -6.09580190e-07 
 1.09280000e-07  2.65130452e+00 -6.09580221e-07 
 1.10280000e-07  2.65130452e+00 -6.09580256e-07 
 1.11280000e-07  2.65130452e+00 -6.09580184e-07 
 1.12280000e-07  2.65130452e+00 -6.09580220e-07 
 1.13280000e-07  2.65130452e+00 -6.09580245e-07 
 1.14280000e-07  2.65130452e+00 -6.09580243e-07 
 1.15280000e-07  2.65130452e+00 -6.09580199e-07 
 1.16280000e-07  2.65130452e+00 -6.09580251e-07 
 1.17280000e-07  2.65130452e+00 -6.09580216e-07 
 1.18280000e-07  2.65130452e+00 -6.09580220e-07 
 1.19280000e-07  2.65130452e+00 -6.09580243e-07 
 1.20280000e-07  2.65130452e+00 -6.09580215e-07 
 1.21280000e-07  2.65130452e+00 -6.09580219e-07 
 1.22280000e-07  2.65130452e+00 -6.09580186e-07 
 1.23280000e-07  2.65130452e+00 -6.09580170e-07 
 1.24280000e-07  2.65130452e+00 -6.09580227e-07 
 1.25280000e-07  2.65130452e+00 -6.09580221e-07 
 1.26280000e-07  2.65130452e+00 -6.09580188e-07 
 1.27280000e-07  2.65130452e+00 -6.09580158e-07 
 1.28280000e-07  2.65130452e+00 -6.09580263e-07 
 1.29280000e-07  2.65130452e+00 -6.09580218e-07 
 1.30280000e-07  2.65130452e+00 -6.09580216e-07 
 1.31280000e-07  2.65130452e+00 -6.09580185e-07 
 1.32280000e-07  2.65130452e+00 -6.09580257e-07 
 1.33280000e-07  2.65130452e+00 -6.09580193e-07 
 1.34280000e-07  2.65130452e+00 -6.09580185e-07 
 1.35280000e-07  2.65130452e+00 -6.09580159e-07 
 1.36280000e-07  2.65130452e+00 -6.09580221e-07 
 1.37280000e-07  2.65130452e+00 -6.09580184e-07 
 1.38280000e-07  2.65130452e+00 -6.09580221e-07 
 1.39280000e-07  2.65130452e+00 -6.09580192e-07 
 1.40280000e-07  2.65130452e+00 -6.09580229e-07 
 1.41280000e-07  2.65130452e+00 -6.09580216e-07 
 1.42280000e-07  2.65130452e+00 -6.09580222e-07 
 1.43280000e-07  2.65130452e+00 -6.09580153e-07 
 1.44280000e-07  2.65130452e+00 -6.09580227e-07 
 1.45280000e-07  2.65130452e+00 -6.09580286e-07 
 1.46280000e-07  2.65130452e+00 -6.09580248e-07 
 1.47280000e-07  2.65130452e+00 -6.09580194e-07 
 1.48280000e-07  2.65130452e+00 -6.09580189e-07 
 1.49280000e-07  2.65130452e+00 -6.09580251e-07 
 1.50280000e-07  2.65130452e+00 -6.09580242e-07 
 1.51280000e-07  2.65130452e+00 -6.09580191e-07 
 1.52280000e-07  2.65130452e+00 -6.09580250e-07 
 1.53280000e-07  2.65130452e+00 -6.09580223e-07 
 1.54280000e-07  2.65130452e+00 -6.09580216e-07 
 1.55280000e-07  2.65130452e+00 -6.09580250e-07 
 1.56280000e-07  2.65130452e+00 -6.09580221e-07 
 1.57280000e-07  2.65130452e+00 -6.09580217e-07 
 1.58280000e-07  2.65130452e+00 -6.09580218e-07 
 1.59280000e-07  2.65130452e+00 -6.09580186e-07 
 1.60280000e-07  2.65130452e+00 -6.09580185e-07 
 1.61280000e-07  2.65130452e+00 -6.09580187e-07 
 1.62280000e-07  2.65130452e+00 -6.09580199e-07 
 1.63280000e-07  2.65130452e+00 -6.09580199e-07 
 1.64280000e-07  2.65130452e+00 -6.09580195e-07 
 1.65280000e-07  2.65130452e+00 -6.09580193e-07 
 1.66280000e-07  2.65130452e+00 -6.09580245e-07 
 1.67280000e-07  2.65130452e+00 -6.09580221e-07 
 1.68280000e-07  2.65130452e+00 -6.09580220e-07 
 1.69280000e-07  2.65130452e+00 -6.09580217e-07 
 1.70280000e-07  2.65130452e+00 -6.09580250e-07 
 1.71280000e-07  2.65130452e+00 -6.09580222e-07 
 1.72280000e-07  2.65130452e+00 -6.09580257e-07 
 1.73280000e-07  2.65130452e+00 -6.09580218e-07 
 1.74280000e-07  2.65130452e+00 -6.09580190e-07 
 1.75280000e-07  2.65130452e+00 -6.09580157e-07 
 1.76280000e-07  2.65130452e+00 -6.09580220e-07 
 1.77280000e-07  2.65130452e+00 -6.09580191e-07 
 1.78280000e-07  2.65130452e+00 -6.09580247e-07 
 1.79280000e-07  2.65130452e+00 -6.09580218e-07 
 1.80280000e-07  2.65130452e+00 -6.09580247e-07 
 1.81280000e-07  2.65130452e+00 -6.09580244e-07 
 1.82280000e-07  2.65130452e+00 -6.09580162e-07 
 1.83280000e-07  2.65130452e+00 -6.09580223e-07 
 1.84280000e-07  2.65130452e+00 -6.09580158e-07 
 1.85280000e-07  2.65130452e+00 -6.09580255e-07 
 1.86280000e-07  2.65130452e+00 -6.09580190e-07 
 1.87280000e-07  2.65130452e+00 -6.09580189e-07 
 1.88280000e-07  2.65130452e+00 -6.09580161e-07 
 1.89280000e-07  2.65130452e+00 -6.09580251e-07 
 1.90280000e-07  2.65130452e+00 -6.09580224e-07 
 1.91280000e-07  2.65130452e+00 -6.09580252e-07 
 1.92280000e-07  2.65130452e+00 -6.09580255e-07 
 1.93280000e-07  2.65130452e+00 -6.09580218e-07 
 1.94280000e-07  2.65130452e+00 -6.09580216e-07 
 1.95280000e-07  2.65130452e+00 -6.09580220e-07 
 1.96280000e-07  2.65130452e+00 -6.09580226e-07 
 1.97280000e-07  2.65130452e+00 -6.09580248e-07 
 1.98280000e-07  2.65130452e+00 -6.09580251e-07 
 1.99280000e-07  2.65130452e+00 -6.09580216e-07 
 2.00280000e-07  2.65130452e+00 -6.09580210e-07 
 2.01280000e-07  2.65130452e+00 -6.09580182e-07 
 2.02280000e-07  2.65130452e+00 -6.09580227e-07 
 2.03280000e-07  2.65130452e+00 -6.09580197e-07 
 2.04280000e-07  2.65130452e+00 -6.09580227e-07 
 2.05280000e-07  2.65130452e+00 -6.09580165e-07 
 2.06280000e-07  2.65130452e+00 -6.09580218e-07 
 2.07280000e-07  2.65130452e+00 -6.09580246e-07 
 2.08280000e-07  2.65130452e+00 -6.09580221e-07 
 2.09280000e-07  2.65130452e+00 -6.09580217e-07 
 2.10280000e-07  2.65130452e+00 -6.09580252e-07 
 2.11280000e-07  2.65130452e+00 -6.09580181e-07 
 2.12280000e-07  2.65130452e+00 -6.09580250e-07 
 2.13280000e-07  2.65130452e+00 -6.09580186e-07 
 2.14280000e-07  2.65130452e+00 -6.09580183e-07 
 2.15280000e-07  2.65130452e+00 -6.09580225e-07 
 2.16280000e-07  2.65130452e+00 -6.09580199e-07 
 2.17280000e-07  2.65130452e+00 -6.09580219e-07 
 2.18280000e-07  2.65130452e+00 -6.09580220e-07 
 2.19280000e-07  2.65130452e+00 -6.09580185e-07 
 2.20280000e-07  2.65130452e+00 -6.09580190e-07 
 2.21280000e-07  2.65130452e+00 -6.09580163e-07 
 2.22280000e-07  2.65130452e+00 -6.09580221e-07 
 2.23280000e-07  2.65130452e+00 -6.09580193e-07 
 2.24280000e-07  2.65130452e+00 -6.09580184e-07 
 2.25280000e-07  2.65130452e+00 -6.09580191e-07 
 2.26280000e-07  2.65130452e+00 -6.09580197e-07 
 2.27280000e-07  2.65130452e+00 -6.09580226e-07 
 2.28280000e-07  2.65130452e+00 -6.09580216e-07 
 2.29280000e-07  2.65130452e+00 -6.09580183e-07 
