time,v(vpre)
0.00000000e+00,7.84569548e-01
1.00000000e-09,7.84557293e-01
2.00000000e-09,7.84590316e-01
4.00000000e-09,7.84494122e-01
8.00000000e-09,7.84714531e-01
1.60000000e-08,7.84382851e-01
3.20000000e-08,7.84802259e-01
6.40000000e-08,7.84342240e-01
1.28000000e-07,7.84834346e-01
2.28000000e-07,7.84326778e-01
3.28000000e-07,7.84840295e-01
4.28000000e-07,7.84311224e-01
5.28000000e-07,7.84854763e-01
6.28000000e-07,7.84299775e-01
7.28000000e-07,7.84869725e-01
8.28000000e-07,7.84287627e-01
9.28000000e-07,7.84885423e-01
1.02800000e-06,7.84274923e-01
1.12800000e-06,7.84901935e-01
1.22800000e-06,7.84261660e-01
1.32800000e-06,7.84919318e-01
1.42800000e-06,7.84247824e-01
1.52800000e-06,7.84937623e-01
1.62800000e-06,7.84233395e-01
1.72800000e-06,7.84956905e-01
1.82800000e-06,7.84218354e-01
1.92800000e-06,7.84977218e-01
2.02800000e-06,7.84202682e-01
2.12800000e-06,7.84998624e-01
2.22800000e-06,7.84186359e-01
2.32800000e-06,7.85021186e-01
2.42800000e-06,7.84169364e-01
2.52800000e-06,7.85044970e-01
2.62800000e-06,7.84151679e-01
2.72800000e-06,7.85070049e-01
2.82800000e-06,7.84133285e-01
2.92800000e-06,7.85096501e-01
3.02800000e-06,7.84114164e-01
3.12800000e-06,7.85124407e-01
3.22800000e-06,7.84094299e-01
3.32800000e-06,7.85153854e-01
3.42800000e-06,7.84073675e-01
3.52800000e-06,7.85184937e-01
3.62800000e-06,7.84052275e-01
3.72800000e-06,7.85217753e-01
3.82800000e-06,7.84030088e-01
3.92800000e-06,7.85252409e-01
4.02800000e-06,7.84007102e-01
4.12800000e-06,7.85289019e-01
4.22800000e-06,7.83983309e-01
4.32800000e-06,7.85327705e-01
4.42800000e-06,7.83958702e-01
4.52800000e-06,7.85368593e-01
4.62800000e-06,7.83933276e-01
4.72800000e-06,7.85411821e-01
4.82800000e-06,7.83907031e-01
4.92800000e-06,7.85457536e-01
5.02800000e-06,7.83879971e-01
5.12800000e-06,7.85505894e-01
