Archivo,Primer Umbral Superado,Segundo Umbral Superado,Inversa
0,2.928e-06,0.0192572264,51.93645487492808
1,0.00179018965,0.0220711156,49.30741340239448
2,0.00177663455,0.0210591404,51.86047953409541
3,0.00176297509,0.0207935422,52.5470415158847
4,1.3728e-05,0.0192082309,52.09824944203166
5,0.00173571554,0.0198971613,55.06169570500097
6,3.128e-06,0.0187699352,53.28556900184918
7,0.00171844299,0.0206970438,52.69092331996839
8,1.1728e-05,0.0183387687,54.56418285795589
9,0.00168977224,0.0195971828,55.84280299205917
10,0.00166690419,0.0200267557,54.466671446407574
11,0.00165277847,0.0198944477,54.81954460370401
12,0.00163873316,0.0194349478,56.19172505103028
13,0.00163371171,0.0188614159,58.04603962148713
14,0.00161022035,0.0185955833,58.87422028859266
15,0.00159597524,0.018823956,58.04510777733188
16,0.00158128013,0.0179787998,60.98483307994105
17,3.128e-06,0.0156417203,63.94437432837227
18,0.00155261215,0.0174416788,62.936358820044354
19,0.00153804646,0.017430618,62.922479064077265
20,0.00152414897,0.016932333,64.90057478889028
21,0.00151847287,0.0173654763,63.10341285765722
22,0.00149454433,0.01676018,65.50660723321192
23,0.00147920511,0.0169707592,64.55130287060824
24,0.00147440591,0.016559866,66.28899576373477
25,2.01281168e-08,0.0140480008,71.1846081908045
26,0.00143566875,0.0155667618,70.76593413274567
27,2.09129002e-08,0.0136815869,73.0910482720245
28,2.12768576e-08,0.013528591,73.91764395384446
29,0.0014045428,0.0146973586,75.22860581578209
30,0.00137836062,0.0154374512,71.12835601347977
31,0.0013645512,0.0145838163,75.64717043158473
32,0.00136094887,0.0145658833,75.7292666087097
33,0.00133635335,0.0144587908,76.20535466907484
34,0.00132231063,0.0139427142,79.23676881277419
35,1.3828e-05,0.0120439103,83.12495085756812
36,5.028e-06,0.0118475119,84.44174452286991
37,0.00129147421,0.0139198087,79.18700607684015
38,5.428e-06,0.0114767281,87.17407715625886
39,0.00125229112,0.0126013642,88.11292278681847
40,0.00123817311,0.0128059435,86.44708239233992
41,0.0012334774,0.0125527223,88.34511567109924
42,0.00122020052,0.0126942853,87.15292061838852
43,0.00119645966,0.0123541825,89.62402224359249
44,1.6628e-05,0.0109353955,91.58542848357197
