 time            v(vpre)        
 0.00000000e+00  7.45445153e-01 
 1.00000000e-09  7.45441807e-01 
 2.00000000e-09  7.45472771e-01 
 4.00000000e-09  7.44952309e-01 
 8.00000000e-09  7.46699000e-01 
 1.60000000e-08  7.43412301e-01 
 3.20000000e-08  7.47909572e-01 
 6.40000000e-08  7.42606400e-01 
 1.28000000e-07  7.48403404e-01 
 2.28000000e-07  7.42327549e-01 
 3.28000000e-07  7.48561295e-01 
 4.28000000e-07  7.42076374e-01 
 5.28000000e-07  7.48793509e-01 
 6.28000000e-07  7.41824106e-01 
 7.28000000e-07  7.49043209e-01 
 8.28000000e-07  7.41552107e-01 
 9.28000000e-07  7.49313333e-01 
 1.02800000e-06  7.41259731e-01 
 1.12800000e-06  7.49606756e-01 
 1.22800000e-06  7.40945802e-01 
 1.32800000e-06  7.49926818e-01 
 1.42800000e-06  7.40609043e-01 
 1.52800000e-06  7.50277699e-01 
 1.62800000e-06  7.40248199e-01 
 1.72800000e-06  7.50483887e-01 
 1.82800000e-06  7.39865584e-01 
 1.92800000e-06  7.50838785e-01 
 2.02800000e-06  7.39458756e-01 
 2.12800000e-06  7.51215322e-01 
 2.22800000e-06  7.38847732e-01 
 2.32800000e-06  7.51625671e-01 
 2.42800000e-06  7.38325338e-01 
 2.52800000e-06  7.52061387e-01 
 2.62800000e-06  7.37756012e-01 
 2.72800000e-06  7.52527539e-01 
 2.82800000e-06  7.37136441e-01 
 2.92800000e-06  7.53028333e-01 
 3.02800000e-06  7.36461690e-01 
 3.12800000e-06  7.53569282e-01 
 3.22800000e-06  7.35725755e-01 
 3.32800000e-06  7.54159059e-01 
 3.42800000e-06  7.34921480e-01 
 3.52800000e-06  7.54812640e-01 
 3.62800000e-06  7.34040163e-01 
 3.72800000e-06  7.55352697e-01 
 3.82800000e-06  7.33087605e-01 
 3.92800000e-06  7.56037016e-01 
 4.02800000e-06  7.32042110e-01 
 4.12800000e-06  7.56768276e-01 
 4.22800000e-06  7.30896140e-01 
 4.32800000e-06  7.57558208e-01 
 4.42800000e-06  7.29639879e-01 
 4.52800000e-06  7.58434320e-01 
 4.62800000e-06  7.28105675e-01 
 4.72800000e-06  7.59254704e-01 
 4.82800000e-06  7.26504873e-01 
 4.92800000e-06  7.60207986e-01 
 5.02800000e-06  7.24702652e-01 
 5.12800000e-06  7.61263160e-01 
 5.22800000e-06  7.22659474e-01 
 5.32800000e-06  7.62295220e-01 
 5.42800000e-06  7.20346049e-01 
 5.52800000e-06  1.79979085e+00 
 5.60960494e-06  1.80020908e+00 
 5.68756211e-06  1.79964418e+00 
 5.77197426e-06  5.81723629e-01 
 5.85786532e-06  9.34226599e-02 
 5.94030663e-06  5.43201010e-01 
 6.03355119e-06  1.33324767e-01 
 6.12704622e-06  3.44509656e-01 
 6.22704622e-06  3.51667942e-01 
 6.32704622e-06  3.38948692e-01 
 6.42704622e-06  3.46546368e-01 
 6.52704622e-06  3.34834955e-01 
 6.62704622e-06  3.42812223e-01 
 6.72704622e-06  3.31864332e-01 
 6.82704622e-06  3.40029816e-01 
 6.92704622e-06  3.29678748e-01 
 7.02704622e-06  3.37915477e-01 
 7.12704622e-06  3.28052392e-01 
 7.22704622e-06  3.36284582e-01 
 7.32704622e-06  3.26834202e-01 
 7.42704622e-06  3.35010906e-01 
 7.52704622e-06  3.25918878e-01 
 7.62704622e-06  3.34005073e-01 
 7.72704622e-06  3.25230869e-01 
 7.82704622e-06  3.33202283e-01 
 7.92704622e-06  3.24714864e-01 
 8.02704622e-06  3.32554679e-01 
 8.12704622e-06  3.24329800e-01 
 8.22704622e-06  3.32026528e-01 
 8.32704622e-06  3.24044828e-01 
 8.42704622e-06  3.31590793e-01 
 8.52704622e-06  3.23836558e-01 
 8.62704622e-06  3.31226961e-01 
 8.72704622e-06  3.23687236e-01 
 8.82704622e-06  3.30919367e-01 
 8.92704622e-06  3.23583240e-01 
 9.02704622e-06  3.30655924e-01 
 9.12704622e-06  3.23514123e-01 
 9.22704622e-06  3.30427397e-01 
 9.32704622e-06  3.23471890e-01 
 9.42704622e-06  3.30226599e-01 
 9.52704622e-06  3.23450293e-01 
 9.62704622e-06  3.30047950e-01 
 9.72704622e-06  3.23444539e-01 
 9.82704622e-06  3.29887140e-01 
 9.92704622e-06  3.23450933e-01 
 1.00270462e-05  3.29740800e-01 
 1.01270462e-05  3.23466589e-01 
 1.02270462e-05  3.29606308e-01 
 1.03270462e-05  3.23489291e-01 
 1.04270462e-05  3.29481623e-01 
 1.05270462e-05  3.23517318e-01 
 1.06270462e-05  3.29365135e-01 
 1.07270462e-05  3.23549333e-01 
 1.08270462e-05  3.29255573e-01 
 1.09270462e-05  3.23584304e-01 
 1.10270462e-05  3.29151947e-01 
 1.11270462e-05  3.23621414e-01 
 1.12270462e-05  3.29053474e-01 
 1.13270462e-05  3.23660075e-01 
 1.14270462e-05  3.28959536e-01 
 1.15270462e-05  3.23699786e-01 
 1.16270462e-05  3.28869621e-01 
 1.17270462e-05  3.23740169e-01 
 1.18270462e-05  3.28800242e-01 
 1.19270462e-05  3.22881283e-01 
 1.20270462e-05  3.27891887e-01 
 1.21270462e-05  3.23118676e-01 
 1.22270462e-05  3.28009053e-01 
 1.23270462e-05  3.22517011e-01 
 1.24270462e-05  3.27341891e-01 
 1.25270462e-05  3.22000574e-01 
 1.26270462e-05  3.26764622e-01 
 1.27270462e-05  3.21649104e-01 
 1.28270462e-05  3.26338045e-01 
 1.29270462e-05  3.21433674e-01 
 1.30270462e-05  3.26035426e-01 
 1.31270462e-05  3.21606702e-01 
 1.32270462e-05  3.25470728e-01 
 1.33270462e-05  3.21350949e-01 
 1.34270462e-05  3.25250611e-01 
 1.35270462e-05  3.21261737e-01 
 1.36270462e-05  3.25093015e-01 
 1.37270462e-05  3.21228693e-01 
 1.38270462e-05  3.24995369e-01 
 1.39270462e-05  3.21245349e-01 
 1.40270462e-05  3.24942199e-01 
 1.41270462e-05  3.21299061e-01 
 1.42270462e-05  3.24923263e-01 
 1.43270462e-05  3.21380727e-01 
 1.44270462e-05  3.24930331e-01 
 1.45270462e-05  3.21483060e-01 
 1.46270462e-05  3.24956904e-01 
 1.47270462e-05  3.21600331e-01 
 1.48270462e-05  3.24997844e-01 
 1.49270462e-05  3.21728021e-01 
 1.50270462e-05  3.25049114e-01 
 1.51270462e-05  3.21862568e-01 
 1.52270462e-05  3.25107534e-01 
 1.53270462e-05  3.22001236e-01 
 1.54270462e-05  3.25170664e-01 
 1.55270462e-05  3.22141908e-01 
 1.56270462e-05  3.25236612e-01 
 1.57270462e-05  3.22282936e-01 
 1.58270462e-05  3.25303895e-01 
 1.59270462e-05  3.22290216e-01 
 1.60270462e-05  3.25537651e-01 
 1.61270462e-05  3.22538021e-01 
 1.62270462e-05  3.25682396e-01 
 1.63270462e-05  3.22755147e-01 
