 time            v(vpre)        
 0.00000000e+00  9.15464878e-01 
 1.00000000e-10  9.15467563e-01 
 2.00000000e-10  9.15467575e-01 
 4.00000000e-10  9.15465588e-01 
 8.00000000e-10  9.15447982e-01 
 1.60000000e-09  9.15634995e-01 
 3.20000000e-09  9.15101408e-01 
 6.40000000e-09  9.16010336e-01 
 1.28000000e-08  9.14804024e-01 
 2.28000000e-08  9.16204828e-01 
 3.28000000e-08  9.14622067e-01 
 4.28000000e-08  9.16411691e-01 
 5.28000000e-08  9.14384220e-01 
 6.28000000e-08  9.16671509e-01 
 7.28000000e-08  9.14078197e-01 
 8.28000000e-08  9.17019314e-01 
 9.28000000e-08  9.13731101e-01 
 1.02800000e-07  9.17452107e-01 
 1.12800000e-07  9.13250462e-01 
 1.22800000e-07  9.18004516e-01 
 1.32800000e-07  9.12635959e-01 
 1.42800000e-07  9.18710369e-01 
 1.52800000e-07  9.11850940e-01 
 1.62800000e-07  9.19613252e-01 
 1.72800000e-07  9.10848837e-01 
 1.82800000e-07  9.20769592e-01 
 1.92800000e-07  9.09570769e-01 
 2.02800000e-07  9.22252931e-01 
 2.12800000e-07  9.07943070e-01 
 2.22800000e-07  9.24159819e-01 
 2.32800000e-07  9.05875949e-01 
 2.42800000e-07  9.26616920e-01 
 2.52800000e-07  9.03267981e-01 
 2.62800000e-07  9.29747563e-01 
 2.72800000e-07  8.99747285e-01 
 2.82800000e-07  9.33840680e-01 
 2.92800000e-07  8.95345964e-01 
 3.02800000e-07  9.39216259e-01 
 3.12800000e-07  8.89641073e-01 
 3.22800000e-07  9.46222848e-01 
 3.32800000e-07  8.82353313e-01 
 3.42800000e-07  1.79818559e+00 
 3.51443636e-07  1.80123179e+00 
 3.59827943e-07  1.79874452e+00 
 3.67615768e-07  1.80115811e+00 
 3.75766610e-07  1.79883396e+00 
 3.85766610e-07  1.80112008e+00 
 3.95766610e-07  1.79887290e+00 
 4.05766610e-07  1.80109910e+00 
 4.15766610e-07  1.79889565e+00 
 4.25766610e-07  1.80108806e+00 
 4.35766610e-07  1.79890655e+00 
 4.45766610e-07  1.80108709e+00 
 4.55766610e-07  1.79890475e+00 
 4.65766610e-07  1.80110696e+00 
 4.75766610e-07  1.79887025e+00 
 4.85766610e-07  1.80124610e+00 
 4.95766610e-07  1.79860112e+00 
 5.05766610e-07  1.80178537e+00 
 5.15766610e-07  5.60916910e-01 
 5.23017848e-07  5.31444082e-01 
 5.29347099e-07  4.57427352e-01 
 5.34309307e-07  4.74333797e-01 
 5.38500361e-07  4.52218990e-01 
 5.42776137e-07  4.56049232e-01 
 5.47057422e-07  4.45235877e-01 
 5.52077911e-07  4.43951107e-01 
 5.58364265e-07  4.35774278e-01 
 5.66753313e-07  4.31578391e-01 
 5.76753313e-07  4.23741974e-01 
 5.86753313e-07  4.19890065e-01 
 5.96753313e-07  4.14289743e-01 
 6.06753313e-07  4.11241304e-01 
 6.16753313e-07  4.06917814e-01 
 6.26753313e-07  4.04449358e-01 
 6.36753313e-07  4.00974547e-01 
 6.46753313e-07  3.98896595e-01 
 6.56753313e-07  3.96019593e-01 
 6.66753313e-07  3.94225834e-01 
 6.76753313e-07  3.91788087e-01 
 6.86753313e-07  3.90211077e-01 
 6.96753313e-07  3.88106471e-01 
 7.06753313e-07  3.86700801e-01 
 7.16753313e-07  3.84855310e-01 
 7.26753313e-07  3.83588986e-01 
 7.36753313e-07  3.81949301e-01 
 7.46753313e-07  3.80798946e-01 
 7.56753313e-07  3.79325706e-01 
 7.66753313e-07  3.78273722e-01 
 7.76753313e-07  3.76937245e-01 
 7.86753313e-07  3.75970042e-01 
 7.96753313e-07  3.74747555e-01 
 8.06753313e-07  3.73854387e-01 
 8.16753313e-07  3.72728141e-01 
 8.26753313e-07  3.71900348e-01 
 8.36753313e-07  3.70856320e-01 
 8.46753313e-07  3.70086785e-01 
 8.56753313e-07  3.69113754e-01 
 8.66753313e-07  3.68396544e-01 
 8.76753313e-07  3.67485425e-01 
 8.86753313e-07  3.66815522e-01 
 8.96753313e-07  3.65958879e-01 
