 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.64681828e+00 -6.03638374e-07 
 1.00000000e-11  2.64681828e+00 -6.03638397e-07 
 2.00000000e-11  2.64681828e+00 -6.03638405e-07 
 4.00000000e-11  2.64681828e+00 -6.03638397e-07 
 8.00000000e-11  2.64681828e+00 -6.03638413e-07 
 1.60000000e-10  2.64681828e+00 -6.03638375e-07 
 3.20000000e-10  2.64681828e+00 -6.03638343e-07 
 6.40000000e-10  2.64681828e+00 -6.03638271e-07 
 1.28000000e-09  2.64681828e+00 -6.03638368e-07 
 2.28000000e-09  2.64681828e+00 -6.03638313e-07 
 3.28000000e-09  2.64681828e+00 -6.03638343e-07 
 4.28000000e-09  2.64681828e+00 -6.03638312e-07 
 5.28000000e-09  2.64681828e+00 -6.03638252e-07 
 6.28000000e-09  2.64681828e+00 -6.03638279e-07 
 7.28000000e-09  2.64681828e+00 -6.03638251e-07 
 8.28000000e-09  2.64681828e+00 -6.03638323e-07 
 9.28000000e-09  2.64681828e+00 -6.03638317e-07 
 1.02800000e-08  2.64681828e+00 -6.03638289e-07 
 1.12800000e-08  2.64681828e+00 -6.03638224e-07 
 1.22800000e-08  2.64681828e+00 -6.03638288e-07 
 1.32800000e-08  2.64681828e+00 -6.03638291e-07 
 1.42800000e-08  2.64681828e+00 -6.03638331e-07 
 1.52800000e-08  2.64681828e+00 -6.03638316e-07 
 1.62800000e-08  2.64681828e+00 -6.03638282e-07 
 1.72800000e-08  2.64681828e+00 -6.03638289e-07 
 1.82800000e-08  2.64681828e+00 -6.03638299e-07 
 1.92800000e-08  2.64681828e+00 -6.03638315e-07 
 2.02800000e-08  2.64681828e+00 -6.03638323e-07 
 2.12800000e-08  2.64681828e+00 -6.03638347e-07 
 2.22800000e-08  2.64681828e+00 -6.03638285e-07 
 2.32800000e-08  2.64681828e+00 -6.03638317e-07 
 2.42800000e-08  2.64681828e+00 -6.03638291e-07 
 2.52800000e-08  2.64681828e+00 -6.03638322e-07 
 2.62800000e-08  2.64681828e+00 -6.03638286e-07 
 2.72800000e-08  2.64681828e+00 -6.03638283e-07 
 2.82800000e-08  2.64681828e+00 -6.03638319e-07 
 2.92800000e-08  2.64681828e+00 -6.03638316e-07 
 3.02800000e-08  2.64681828e+00 -6.03638315e-07 
 3.12800000e-08  2.64681828e+00 -6.03638344e-07 
 3.22800000e-08  2.64681828e+00 -6.03638224e-07 
 3.32800000e-08  2.64681828e+00 -6.03638298e-07 
 3.42800000e-08  2.64681828e+00 -6.03638319e-07 
 3.52800000e-08  2.64681828e+00 -6.03638261e-07 
 3.62800000e-08  2.64681828e+00 -6.03638292e-07 
 3.72800000e-08  2.64681828e+00 -6.03638321e-07 
 3.82800000e-08  2.64681828e+00 -6.03638281e-07 
 3.92800000e-08  2.64681828e+00 -6.03638316e-07 
 4.02800000e-08  2.64681828e+00 -6.03638316e-07 
 4.12800000e-08  2.64681828e+00 -6.03638288e-07 
 4.22800000e-08  2.64681828e+00 -6.03638292e-07 
 4.32800000e-08  2.64681828e+00 -6.03638289e-07 
 4.42800000e-08  2.64681828e+00 -6.03638293e-07 
 4.52800000e-08  2.64681828e+00 -6.03638318e-07 
 4.62800000e-08  2.64681828e+00 -6.03638287e-07 
 4.72800000e-08  2.64681828e+00 -6.03638316e-07 
 4.82800000e-08  2.64681828e+00 -6.03638281e-07 
 4.92800000e-08  2.64681828e+00 -6.03638298e-07 
 5.02800000e-08  2.64681828e+00 -6.03638289e-07 
 5.12800000e-08  2.64681828e+00 -6.03638287e-07 
 5.22800000e-08  2.64681828e+00 -6.03638253e-07 
 5.32800000e-08  2.64681828e+00 -6.03638287e-07 
 5.42800000e-08  2.64681828e+00 -6.03638317e-07 
 5.52800000e-08  2.64681828e+00 -6.03638325e-07 
 5.62800000e-08  2.64681828e+00 -6.03638319e-07 
 5.72800000e-08  2.64681828e+00 -6.03638350e-07 
 5.82800000e-08  2.64681828e+00 -6.03638320e-07 
 5.92800000e-08  2.64681828e+00 -6.03638290e-07 
 6.02800000e-08  2.64681828e+00 -6.03638292e-07 
 6.12800000e-08  2.64681828e+00 -6.03638291e-07 
 6.22800000e-08  2.64681828e+00 -6.03638290e-07 
 6.32800000e-08  2.64681828e+00 -6.03638285e-07 
 6.42800000e-08  2.64681828e+00 -6.03638323e-07 
 6.52800000e-08  2.64681828e+00 -6.03638279e-07 
 6.62800000e-08  2.64681828e+00 -6.03638321e-07 
 6.72800000e-08  2.64681828e+00 -6.03638312e-07 
 6.82800000e-08  2.64681828e+00 -6.03638291e-07 
 6.92800000e-08  2.64681828e+00 -6.03638287e-07 
 7.02800000e-08  2.64681828e+00 -6.03638291e-07 
 7.12800000e-08  2.64681828e+00 -6.03638287e-07 
 7.22800000e-08  2.64681828e+00 -6.03638320e-07 
 7.32800000e-08  2.64681828e+00 -6.03638315e-07 
 7.42800000e-08  2.64681828e+00 -6.03638319e-07 
 7.52800000e-08  2.64681828e+00 -6.03638349e-07 
 7.62800000e-08  2.64681828e+00 -6.03638316e-07 
 7.72800000e-08  2.64681828e+00 -6.03638318e-07 
 7.82800000e-08  2.64681828e+00 -6.03638291e-07 
 7.92800000e-08  2.64681828e+00 -6.03638287e-07 
 8.02800000e-08  2.64681828e+00 -6.03638349e-07 
 8.12800000e-08  2.64681828e+00 -6.03638318e-07 
 8.22800000e-08  2.64681828e+00 -6.03638324e-07 
 8.32800000e-08  2.64681828e+00 -6.03638285e-07 
 8.42800000e-08  2.64681828e+00 -6.03638284e-07 
 8.52800000e-08  2.64681828e+00 -6.03638346e-07 
 8.62800000e-08  2.64681828e+00 -6.03638322e-07 
 8.72800000e-08  2.64681828e+00 -6.03638344e-07 
 8.82800000e-08  2.64681828e+00 -6.03638350e-07 
 8.92800000e-08  2.64681828e+00 -6.03638290e-07 
 9.02800000e-08  2.64681828e+00 -6.03638286e-07 
 9.12800000e-08  2.64681828e+00 -6.03638320e-07 
 9.22800000e-08  2.64681828e+00 -6.03638312e-07 
 9.32800000e-08  2.64681828e+00 -6.03638316e-07 
 9.42800000e-08  2.64681828e+00 -6.03638345e-07 
 9.52800000e-08  2.64681828e+00 -6.03638286e-07 
 9.62800000e-08  2.64681828e+00 -6.03638318e-07 
 9.72800000e-08  2.64681828e+00 -6.03638252e-07 
 9.82800000e-08  2.64681828e+00 -6.03638299e-07 
 9.92800000e-08  2.64681828e+00 -6.03638289e-07 
 1.00280000e-07  2.64681828e+00 -6.03638294e-07 
 1.01280000e-07  2.64681828e+00 -6.03638345e-07 
 1.02280000e-07  2.64681828e+00 -6.03638323e-07 
 1.03280000e-07  2.64681828e+00 -6.03638278e-07 
 1.04280000e-07  2.64681828e+00 -6.03638351e-07 
 1.05280000e-07  2.64681828e+00 -6.03638250e-07 
 1.06280000e-07  2.64681828e+00 -6.03638293e-07 
 1.07280000e-07  2.64681828e+00 -6.03638322e-07 
 1.08280000e-07  2.64681828e+00 -6.03638315e-07 
 1.09280000e-07  2.64681828e+00 -6.03638348e-07 
 1.10280000e-07  2.64681828e+00 -6.03638316e-07 
 1.11280000e-07  2.64681828e+00 -6.03638319e-07 
 1.12280000e-07  2.64681828e+00 -6.03638349e-07 
 1.13280000e-07  2.64681828e+00 -6.03638289e-07 
 1.14280000e-07  2.64681828e+00 -6.03638350e-07 
