 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.65882484e+00 -6.19631984e-07 
 1.00000000e-11  2.65882484e+00 -6.19631934e-07 
 2.00000000e-11  2.65882484e+00 -6.19631895e-07 
 4.00000000e-11  2.65882484e+00 -6.19631929e-07 
 8.00000000e-11  2.65882484e+00 -6.19631960e-07 
 1.60000000e-10  2.65882484e+00 -6.19631949e-07 
 3.20000000e-10  2.65882484e+00 -6.19631856e-07 
 6.40000000e-10  2.65882484e+00 -6.19631893e-07 
 1.28000000e-09  2.65882484e+00 -6.19631950e-07 
 2.28000000e-09  2.65882484e+00 -6.19631947e-07 
 3.28000000e-09  2.65882484e+00 -6.19631863e-07 
 4.28000000e-09  2.65882484e+00 -6.19631867e-07 
 5.28000000e-09  2.65882484e+00 -6.19631933e-07 
 6.28000000e-09  2.65882484e+00 -6.19631952e-07 
 7.28000000e-09  2.65882484e+00 -6.19631902e-07 
 8.28000000e-09  2.65882484e+00 -6.19631952e-07 
 9.28000000e-09  2.65882484e+00 -6.19631925e-07 
 1.02800000e-08  2.65882484e+00 -6.19631927e-07 
 1.12800000e-08  2.65882484e+00 -6.19631888e-07 
 1.22800000e-08  2.65882484e+00 -6.19631928e-07 
 1.32800000e-08  2.65882484e+00 -6.19631863e-07 
 1.42800000e-08  2.65882484e+00 -6.19631894e-07 
 1.52800000e-08  2.65882484e+00 -6.19631890e-07 
 1.62800000e-08  2.65882484e+00 -6.19631906e-07 
 1.72800000e-08  2.65882484e+00 -6.19631895e-07 
 1.82800000e-08  2.65882484e+00 -6.19631867e-07 
 1.92800000e-08  2.65882484e+00 -6.19631900e-07 
 2.02800000e-08  2.65882484e+00 -6.19631895e-07 
 2.12800000e-08  2.65882484e+00 -6.19631869e-07 
 2.22800000e-08  2.65882484e+00 -6.19631995e-07 
 2.32800000e-08  2.65882484e+00 -6.19631900e-07 
 2.42800000e-08  2.65882484e+00 -6.19631900e-07 
 2.52800000e-08  2.65882484e+00 -6.19631923e-07 
 2.62800000e-08  2.65882484e+00 -6.19631929e-07 
 2.72800000e-08  2.65882484e+00 -6.19631959e-07 
 2.82800000e-08  2.65882484e+00 -6.19631937e-07 
 2.92800000e-08  2.65882484e+00 -6.19631869e-07 
 3.02800000e-08  2.65882484e+00 -6.19631953e-07 
 3.12800000e-08  2.65882484e+00 -6.19631886e-07 
 3.22800000e-08  2.65882484e+00 -6.19631946e-07 
 3.32800000e-08  2.65882484e+00 -6.19631930e-07 
 3.42800000e-08  2.65882484e+00 -6.19631864e-07 
 3.52800000e-08  2.65882484e+00 -6.19631869e-07 
 3.62800000e-08  2.65882484e+00 -6.19631900e-07 
 3.72800000e-08  2.65882484e+00 -6.19631875e-07 
 3.82800000e-08  2.65882484e+00 -6.19631871e-07 
 3.92800000e-08  2.65882484e+00 -6.19631928e-07 
 4.02800000e-08  2.65882484e+00 -6.19631863e-07 
 4.12800000e-08  2.65882484e+00 -6.19631874e-07 
 4.22800000e-08  2.65882484e+00 -6.19631902e-07 
 4.32800000e-08  2.65882484e+00 -6.19631930e-07 
 4.42800000e-08  2.65882484e+00 -6.19631875e-07 
 4.52800000e-08  2.65882484e+00 -6.19631898e-07 
 4.62800000e-08  2.65882484e+00 -6.19631897e-07 
 4.72800000e-08  2.65882484e+00 -6.19631875e-07 
 4.82800000e-08  2.65882484e+00 -6.19631898e-07 
 4.92800000e-08  2.65882484e+00 -6.19631932e-07 
 5.02800000e-08  2.65882484e+00 -6.19631928e-07 
 5.12800000e-08  2.65882484e+00 -6.19631947e-07 
 5.22800000e-08  2.65882484e+00 -6.19631927e-07 
 5.32800000e-08  2.65882484e+00 -6.19631923e-07 
 5.42800000e-08  2.65882484e+00 -6.19631865e-07 
 5.52800000e-08  2.65882484e+00 -6.19631900e-07 
 5.62800000e-08  2.65882484e+00 -6.19631956e-07 
 5.72800000e-08  2.65882484e+00 -6.19631833e-07 
 5.82800000e-08  2.65882484e+00 -6.19631870e-07 
 5.92800000e-08  2.65882484e+00 -6.19631868e-07 
 6.02800000e-08  2.65882484e+00 -6.19631872e-07 
 6.12800000e-08  2.65882484e+00 -6.19631877e-07 
 6.22800000e-08  2.65882484e+00 -6.19631961e-07 
 6.32800000e-08  2.65882484e+00 -6.19631926e-07 
 6.42800000e-08  2.65882484e+00 -6.19631956e-07 
 6.52800000e-08  2.65882484e+00 -6.19631928e-07 
 6.62800000e-08  2.65882484e+00 -6.19631893e-07 
 6.72800000e-08  2.65882484e+00 -6.19631902e-07 
 6.82800000e-08  2.65882484e+00 -6.19631930e-07 
 6.92800000e-08  2.65882484e+00 -6.19631987e-07 
 7.02800000e-08  2.65882484e+00 -6.19631896e-07 
 7.12800000e-08  2.65882484e+00 -6.19631868e-07 
 7.22800000e-08  2.65882484e+00 -6.19631954e-07 
 7.32800000e-08  2.65882484e+00 -6.19631927e-07 
 7.42800000e-08  2.65882484e+00 -6.19631867e-07 
 7.52800000e-08  2.65882484e+00 -6.19631874e-07 
 7.62800000e-08  2.65882484e+00 -6.19631864e-07 
 7.72800000e-08  2.65882484e+00 -6.19631868e-07 
 7.82800000e-08  2.65882484e+00 -6.19631875e-07 
 7.92800000e-08  2.65882484e+00 -6.19631900e-07 
 8.02800000e-08  2.65882484e+00 -6.19631955e-07 
 8.12800000e-08  2.65882484e+00 -6.19631931e-07 
 8.22800000e-08  2.65882484e+00 -6.19631927e-07 
 8.32800000e-08  2.65882484e+00 -6.19631886e-07 
 8.42800000e-08  2.65882484e+00 -6.19631897e-07 
 8.52800000e-08  2.65882484e+00 -6.19631867e-07 
 8.62800000e-08  2.65882484e+00 -6.19631959e-07 
 8.72800000e-08  2.65882484e+00 -6.19631877e-07 
 8.82800000e-08  2.65882484e+00 -6.19631925e-07 
 8.92800000e-08  2.65882484e+00 -6.19631927e-07 
 9.02800000e-08  2.65882484e+00 -6.19631955e-07 
 9.12800000e-08  2.65882484e+00 -6.19631928e-07 
 9.22800000e-08  2.65882484e+00 -6.19631865e-07 
 9.32800000e-08  2.65882484e+00 -6.19631904e-07 
 9.42800000e-08  2.65882484e+00 -6.19631896e-07 
 9.52800000e-08  2.65882484e+00 -6.19631900e-07 
 9.62800000e-08  2.65882484e+00 -6.19631900e-07 
 9.72800000e-08  2.65882484e+00 -6.19631932e-07 
 9.82800000e-08  2.65882484e+00 -6.19631917e-07 
 9.92800000e-08  2.65882484e+00 -6.19631874e-07 
 1.00280000e-07  2.65882484e+00 -6.19631896e-07 
 1.01280000e-07  2.65882484e+00 -6.19631902e-07 
 1.02280000e-07  2.65882484e+00 -6.19631929e-07 
 1.03280000e-07  2.65882484e+00 -6.19631885e-07 
 1.04280000e-07  2.65882484e+00 -6.19631868e-07 
 1.05280000e-07  2.65882484e+00 -6.19631869e-07 
 1.06280000e-07  2.65882484e+00 -6.19631962e-07 
 1.07280000e-07  2.65882484e+00 -6.19631927e-07 
 1.08280000e-07  2.65882484e+00 -6.19631899e-07 
 1.09280000e-07  2.65882484e+00 -6.19631898e-07 
 1.10280000e-07  2.65882484e+00 -6.19631897e-07 
 1.11280000e-07  2.65882484e+00 -6.19631925e-07 
 1.12280000e-07  2.65882484e+00 -6.19631958e-07 
 1.13280000e-07  2.65882484e+00 -6.19631925e-07 
 1.14280000e-07  2.65882484e+00 -6.19631874e-07 
 1.15280000e-07  2.65882484e+00 -6.19631954e-07 
 1.16280000e-07  2.65882484e+00 -6.19631924e-07 
 1.17280000e-07  2.65882484e+00 -6.19631927e-07 
 1.18280000e-07  2.65882484e+00 -6.19631929e-07 
 1.19280000e-07  2.65882484e+00 -6.19631956e-07 
 1.20280000e-07  2.65882484e+00 -6.19631954e-07 
 1.21280000e-07  2.65882484e+00 -6.19631953e-07 
 1.22280000e-07  2.65882484e+00 -6.19631871e-07 
 1.23280000e-07  2.65882484e+00 -6.19631954e-07 
 1.24280000e-07  2.65882484e+00 -6.19631923e-07 
 1.25280000e-07  2.65882484e+00 -6.19631863e-07 
 1.26280000e-07  2.65882484e+00 -6.19631903e-07 
 1.27280000e-07  2.65882484e+00 -6.19631896e-07 
 1.28280000e-07  2.65882484e+00 -6.19631904e-07 
 1.29280000e-07  2.65882484e+00 -6.19631955e-07 
 1.30280000e-07  2.65882484e+00 -6.19631896e-07 
 1.31280000e-07  2.65882484e+00 -6.19631957e-07 
 1.32280000e-07  2.65882484e+00 -6.19631874e-07 
 1.33280000e-07  2.65882484e+00 -6.19631927e-07 
 1.34280000e-07  2.65882484e+00 -6.19631866e-07 
 1.35280000e-07  2.65882484e+00 -6.19631936e-07 
 1.36280000e-07  2.65882484e+00 -6.19631954e-07 
 1.37280000e-07  2.65882484e+00 -6.19631898e-07 
 1.38280000e-07  2.65882484e+00 -6.19631929e-07 
 1.39280000e-07  2.65882484e+00 -6.19631864e-07 
 1.40280000e-07  2.65882484e+00 -6.19631865e-07 
 1.41280000e-07  2.65882484e+00 -6.19631871e-07 
 1.42280000e-07  2.65882484e+00 -6.19631874e-07 
 1.43280000e-07  2.65882484e+00 -6.19631891e-07 
 1.44280000e-07  2.65882484e+00 -6.19631963e-07 
 1.45280000e-07  2.65882484e+00 -6.19631864e-07 
 1.46280000e-07  2.65882484e+00 -6.19631895e-07 
 1.47280000e-07  2.65882484e+00 -6.19631927e-07 
 1.48280000e-07  2.65882484e+00 -6.19631932e-07 
 1.49280000e-07  2.65882484e+00 -6.19631865e-07 
 1.50280000e-07  2.65882484e+00 -6.19631876e-07 
 1.51280000e-07  2.65882484e+00 -6.19631952e-07 
 1.52280000e-07  2.65882484e+00 -6.19631897e-07 
 1.53280000e-07  2.65882484e+00 -6.19631933e-07 
 1.54280000e-07  2.65882484e+00 -6.19631960e-07 
 1.55280000e-07  2.65882484e+00 -6.19631957e-07 
 1.56280000e-07  2.65882484e+00 -6.19631951e-07 
 1.57280000e-07  2.65882484e+00 -6.19631954e-07 
 1.58280000e-07  2.65882484e+00 -6.19631950e-07 
 1.59280000e-07  2.65882484e+00 -6.19631921e-07 
 1.60280000e-07  2.65882484e+00 -6.19631896e-07 
 1.61280000e-07  2.65882484e+00 -6.19631864e-07 
 1.62280000e-07  2.65882484e+00 -6.19631954e-07 
 1.63280000e-07  2.65882484e+00 -6.19631870e-07 
 1.64280000e-07  2.65882484e+00 -6.19631929e-07 
 1.65280000e-07  2.65882484e+00 -6.19631869e-07 
