 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.64530311e+00 -6.01727073e-07 
 1.00000000e-11  2.64530311e+00 -6.01727059e-07 
 2.00000000e-11  2.64530311e+00 -6.01727065e-07 
 4.00000000e-11  2.64530311e+00 -6.01727096e-07 
 8.00000000e-11  2.64530311e+00 -6.01727056e-07 
 1.60000000e-10  2.64530311e+00 -6.01727135e-07 
 3.20000000e-10  2.64530311e+00 -6.01727131e-07 
 6.40000000e-10  2.64530311e+00 -6.01727111e-07 
 1.28000000e-09  2.64530311e+00 -6.01727095e-07 
 2.28000000e-09  2.64530311e+00 -6.01727100e-07 
 3.28000000e-09  2.64530311e+00 -6.01727069e-07 
 4.28000000e-09  2.64530311e+00 -6.01727069e-07 
 5.28000000e-09  2.64530311e+00 -6.01727074e-07 
 6.28000000e-09  2.64530311e+00 -6.01727109e-07 
 7.28000000e-09  2.64530311e+00 -6.01727103e-07 
 8.28000000e-09  2.64530311e+00 -6.01727065e-07 
 9.28000000e-09  2.64530311e+00 -6.01727071e-07 
 1.02800000e-08  2.64530311e+00 -6.01727072e-07 
 1.12800000e-08  2.64530311e+00 -6.01727080e-07 
 1.22800000e-08  2.64530311e+00 -6.01727102e-07 
 1.32800000e-08  2.64530311e+00 -6.01727042e-07 
 1.42800000e-08  2.64530311e+00 -6.01727066e-07 
 1.52800000e-08  2.64530311e+00 -6.01727020e-07 
 1.62800000e-08  2.64530311e+00 -6.01727019e-07 
 1.72800000e-08  2.64530311e+00 -6.01727127e-07 
 1.82800000e-08  2.64530311e+00 -6.01727041e-07 
 1.92800000e-08  2.64530311e+00 -6.01727078e-07 
 2.02800000e-08  2.64530311e+00 -6.01727104e-07 
 2.12800000e-08  2.64530311e+00 -6.01727075e-07 
 2.22800000e-08  2.64530311e+00 -6.01727073e-07 
 2.32800000e-08  2.64530311e+00 -6.01727103e-07 
 2.42800000e-08  2.64530311e+00 -6.01727040e-07 
 2.52800000e-08  2.64530311e+00 -6.01727044e-07 
 2.62800000e-08  2.64530311e+00 -6.01727037e-07 
 2.72800000e-08  2.64530311e+00 -6.01727080e-07 
 2.82800000e-08  2.64530311e+00 -6.01727070e-07 
 2.92800000e-08  2.64530311e+00 -6.01727099e-07 
 3.02800000e-08  2.64530311e+00 -6.01727106e-07 
 3.12800000e-08  2.64530311e+00 -6.01727041e-07 
 3.22800000e-08  2.64530311e+00 -6.01727102e-07 
 3.32800000e-08  2.64530311e+00 -6.01727104e-07 
