 time            v(vpre)        
 0.00000000e+00  8.21589126e-01 
 1.00000000e-09  8.21589126e-01 
 2.00000000e-09  8.21589127e-01 
 4.00000000e-09  8.21589126e-01 
 8.00000000e-09  8.21589127e-01 
 1.60000000e-08  8.21589126e-01 
 3.20000000e-08  8.21589127e-01 
 6.40000000e-08  8.21589125e-01 
 1.28000000e-07  8.21589125e-01 
 2.28000000e-07  8.21589119e-01 
 3.28000000e-07  8.21589116e-01 
 4.28000000e-07  8.21589110e-01 
 5.28000000e-07  8.21589108e-01 
 6.28000000e-07  8.21589102e-01 
 7.28000000e-07  8.21589100e-01 
 8.28000000e-07  8.21589094e-01 
 9.28000000e-07  8.21589093e-01 
 1.02800000e-06  8.21589087e-01 
 1.12800000e-06  8.21589086e-01 
 1.22800000e-06  8.21589080e-01 
 1.32800000e-06  8.21589079e-01 
 1.42800000e-06  8.21589073e-01 
 1.52800000e-06  8.21589073e-01 
 1.62800000e-06  8.21589068e-01 
 1.72800000e-06  8.21589068e-01 
 1.82800000e-06  8.21589063e-01 
 1.92800000e-06  8.21589063e-01 
 2.02800000e-06  8.21589058e-01 
 2.12800000e-06  8.21589059e-01 
 2.22800000e-06  8.21589054e-01 
 2.32800000e-06  8.21589055e-01 
 2.42800000e-06  8.21589050e-01 
 2.52800000e-06  8.21589051e-01 
 2.62800000e-06  8.21589045e-01 
 2.72800000e-06  8.21589046e-01 
 2.82800000e-06  8.21589040e-01 
 2.92800000e-06  8.21589042e-01 
 3.02800000e-06  8.21589037e-01 
 3.12800000e-06  8.21589040e-01 
 3.22800000e-06  8.21589035e-01 
 3.32800000e-06  8.21589038e-01 
 3.42800000e-06  8.21589033e-01 
 3.52800000e-06  8.21589035e-01 
 3.62800000e-06  8.21589029e-01 
 3.72800000e-06  8.21589032e-01 
 3.82800000e-06  8.21589026e-01 
 3.92800000e-06  8.21589029e-01 
 4.02800000e-06  8.21589023e-01 
 4.12800000e-06  8.21589026e-01 
 4.22800000e-06  8.21589020e-01 
 4.32800000e-06  8.21589023e-01 
 4.42800000e-06  8.21589017e-01 
 4.52800000e-06  8.21589020e-01 
 4.62800000e-06  8.21589014e-01 
 4.72800000e-06  8.21589017e-01 
 4.82800000e-06  8.21589010e-01 
 4.92800000e-06  8.21589014e-01 
 5.02800000e-06  8.21589007e-01 
 5.12800000e-06  8.21589011e-01 
