 time            v(vpre)        
 0.00000000e+00  1.32469156e+00 
 1.00000000e-11  1.32469159e+00 
 2.00000000e-11  1.32469162e+00 
 4.00000000e-11  1.32469167e+00 
 8.00000000e-11  1.32469171e+00 
 1.60000000e-10  1.32469168e+00 
 3.20000000e-10  1.32469142e+00 
 6.40000000e-10  1.32469063e+00 
 1.28000000e-09  1.32468751e+00 
 2.28000000e-09  1.32466946e+00 
 3.28000000e-09  1.32459193e+00 
 4.28000000e-09  1.32425879e+00 
 5.28000000e-09  1.32282417e+00 
 6.28000000e-09  1.31654769e+00 
 7.28000000e-09  1.28703183e+00 
 8.28000000e-09  8.70585485e-01 
 9.28000000e-09  4.63420592e-01 
 1.02800000e-08  5.62069622e-01 
 1.12800000e-08  5.77458115e-01 
 1.22800000e-08  5.62376341e-01 
 1.32800000e-08  5.46310675e-01 
 1.42800000e-08  5.33177734e-01 
 1.52800000e-08  5.23929712e-01 
 1.62800000e-08  5.15828269e-01 
 1.72800000e-08  5.09875679e-01 
 1.82800000e-08  5.04076829e-01 
 1.92800000e-08  4.99764737e-01 
 2.02800000e-08  4.95232365e-01 
 2.12800000e-08  4.91889383e-01 
 2.22800000e-08  4.88157749e-01 
 2.32800000e-08  4.85453486e-01 
 2.42800000e-08  4.82274976e-01 
 2.52800000e-08  4.80022974e-01 
 2.62800000e-08  4.77250325e-01 
 2.72800000e-08  4.75335151e-01 
 2.82800000e-08  4.72873679e-01 
 2.92800000e-08  4.71218973e-01 
 3.02800000e-08  4.69004199e-01 
 3.12800000e-08  4.67556856e-01 
 3.22800000e-08  4.65542888e-01 
 3.32800000e-08  4.64264505e-01 
 3.42800000e-08  4.62417507e-01 
 3.52800000e-08  4.61279424e-01 
 3.62800000e-08  4.59573726e-01 
 3.72800000e-08  4.58553995e-01 
 3.82800000e-08  4.56969653e-01 
 3.92800000e-08  4.56051092e-01 
 4.02800000e-08  4.54572290e-01 
 4.12800000e-08  4.53741202e-01 
 4.22800000e-08  4.52355181e-01 
 4.32800000e-08  4.51600466e-01 
 4.42800000e-08  4.50296775e-01 
 4.52800000e-08  4.49609315e-01 
 4.62800000e-08  4.48379280e-01 
 4.72800000e-08  4.47751490e-01 
 4.82800000e-08  4.46587826e-01 
 4.92800000e-08  4.46013328e-01 
 5.02800000e-08  4.44909850e-01 
 5.12800000e-08  4.44383228e-01 
 5.22800000e-08  4.43334638e-01 
 5.32800000e-08  4.42851249e-01 
 5.42800000e-08  4.41852969e-01 
 5.52800000e-08  4.41408806e-01 
 5.62800000e-08  4.40456847e-01 
 5.72800000e-08  4.40048421e-01 
 5.82800000e-08  4.39139283e-01 
 5.92800000e-08  4.38763539e-01 
 6.02800000e-08  4.37894133e-01 
 6.12800000e-08  4.37548378e-01 
 6.22800000e-08  4.36750405e-01 
 6.32800000e-08  4.36466105e-01 
 6.42800000e-08  4.35700247e-01 
 6.52800000e-08  4.35439208e-01 
 6.62800000e-08  4.34703483e-01 
 6.72800000e-08  4.34463919e-01 
 6.82800000e-08  4.33756511e-01 
 6.92800000e-08  4.33536865e-01 
 7.02800000e-08  4.32856122e-01 
 7.12800000e-08  4.32654983e-01 
 7.22800000e-08  4.31999399e-01 
 7.32800000e-08  4.31815486e-01 
 7.42800000e-08  4.31183683e-01 
 7.52800000e-08  4.31047747e-01 
 7.62800000e-08  4.30469121e-01 
 7.72800000e-08  4.30346104e-01 
 7.82800000e-08  4.29786808e-01 
 7.92800000e-08  4.29675900e-01 
 8.02800000e-08  4.29135018e-01 
 8.12800000e-08  4.29035440e-01 
 8.22800000e-08  4.28512092e-01 
 8.32800000e-08  4.28423122e-01 
 8.42800000e-08  4.27916487e-01 
 8.52800000e-08  4.27837458e-01 
 8.62800000e-08  4.27346772e-01 
 8.72800000e-08  4.27277063e-01 
 8.82800000e-08  4.26801610e-01 
 8.92800000e-08  4.26740648e-01 
 9.02800000e-08  4.26279758e-01 
 9.12800000e-08  4.26227006e-01 
 9.22800000e-08  4.25780050e-01 
 9.32800000e-08  4.25735010e-01 
 9.42800000e-08  4.25301397e-01 
 9.52800000e-08  4.25263603e-01 
 9.62800000e-08  4.24842779e-01 
 9.72800000e-08  4.24811795e-01 
 9.82800000e-08  4.24403235e-01 
 9.92800000e-08  4.24378654e-01 
 1.00280000e-07  4.23981864e-01 
 1.01280000e-07  4.23963304e-01 
 1.02280000e-07  4.23577816e-01 
 1.03280000e-07  4.23564919e-01 
 1.04280000e-07  4.23190292e-01 
 1.05280000e-07  4.23182721e-01 
 1.06280000e-07  4.22818536e-01 
 1.07280000e-07  4.22815976e-01 
 1.08280000e-07  4.22461836e-01 
 1.09280000e-07  4.22463989e-01 
 1.10280000e-07  4.22119518e-01 
 1.11280000e-07  4.22126104e-01 
 1.12280000e-07  4.21790944e-01 
 1.13280000e-07  4.21801699e-01 
 1.14280000e-07  4.21475509e-01 
 1.15280000e-07  4.21490185e-01 
 1.16280000e-07  4.21172643e-01 
 1.17280000e-07  4.21191004e-01 
 1.18280000e-07  4.20881801e-01 
 1.19280000e-07  4.20903626e-01 
 1.20280000e-07  4.20602469e-01 
 1.21280000e-07  4.20627549e-01 
 1.22280000e-07  4.20334158e-01 
 1.23280000e-07  4.20362296e-01 
 1.24280000e-07  4.20076402e-01 
 1.25280000e-07  4.20107411e-01 
 1.26280000e-07  4.19828761e-01 
 1.27280000e-07  4.19862463e-01 
 1.28280000e-07  4.19590813e-01 
 1.29280000e-07  4.19627042e-01 
 1.30280000e-07  4.19362157e-01 
 1.31280000e-07  4.19400755e-01 
 1.32280000e-07  4.19142414e-01 
 1.33280000e-07  4.19183230e-01 
 1.34280000e-07  4.18931219e-01 
 1.35280000e-07  4.18974112e-01 
 1.36280000e-07  4.18728228e-01 
 1.37280000e-07  4.18773063e-01 
 1.38280000e-07  4.18533109e-01 
 1.39280000e-07  4.18579759e-01 
 1.40280000e-07  4.18345548e-01 
 1.41280000e-07  4.18393892e-01 
 1.42280000e-07  4.18165244e-01 
 1.43280000e-07  4.18215169e-01 
 1.44280000e-07  4.17991912e-01 
 1.45280000e-07  4.18043308e-01 
 1.46280000e-07  4.17825277e-01 
 1.47280000e-07  4.17878043e-01 
 1.48280000e-07  4.17665078e-01 
 1.49280000e-07  4.17719116e-01 
 1.50280000e-07  4.17511065e-01 
 1.51280000e-07  4.17566282e-01 
 1.52280000e-07  4.17362999e-01 
 1.53280000e-07  4.17419308e-01 
 1.54280000e-07  4.17220652e-01 
 1.55280000e-07  4.17277971e-01 
 1.56280000e-07  4.17083806e-01 
 1.57280000e-07  4.17142057e-01 
 1.58280000e-07  4.16952253e-01 
 1.59280000e-07  4.17011360e-01 
 1.60280000e-07  4.16825792e-01 
 1.61280000e-07  4.16885685e-01 
 1.62280000e-07  4.16704233e-01 
 1.63280000e-07  4.16764844e-01 
 1.64280000e-07  4.16587392e-01 
 1.65280000e-07  4.16648659e-01 
 1.66280000e-07  4.16475095e-01 
 1.67280000e-07  4.16536957e-01 
 1.68280000e-07  4.16367173e-01 
 1.69280000e-07  4.16429574e-01 
 1.70280000e-07  4.16263467e-01 
 1.71280000e-07  4.16326352e-01 
 1.72280000e-07  4.16163822e-01 
 1.73280000e-07  4.16227142e-01 
 1.74280000e-07  4.16068092e-01 
 1.75280000e-07  4.16131796e-01 
 1.76280000e-07  4.15976135e-01 
 1.77280000e-07  4.16040178e-01 
 1.78280000e-07  4.15887815e-01 
 1.79280000e-07  4.15952155e-01 
 1.80280000e-07  4.15803003e-01 
 1.81280000e-07  4.15867598e-01 
 1.82280000e-07  4.15721574e-01 
 1.83280000e-07  4.15786386e-01 
 1.84280000e-07  4.15643411e-01 
 1.85280000e-07  4.15708402e-01 
 1.86280000e-07  4.15568397e-01 
 1.87280000e-07  4.15633533e-01 
 1.88280000e-07  4.15496422e-01 
 1.89280000e-07  4.15561672e-01 
 1.90280000e-07  4.15427383e-01 
 1.91280000e-07  4.15492714e-01 
 1.92280000e-07  4.15361177e-01 
 1.93280000e-07  4.15426561e-01 
 1.94280000e-07  4.15297709e-01 
 1.95280000e-07  4.15363117e-01 
 1.96280000e-07  4.15236884e-01 
 1.97280000e-07  4.15302291e-01 
 1.98280000e-07  4.15178613e-01 
 1.99280000e-07  4.15243994e-01 
 2.00280000e-07  4.15122810e-01 
 2.01280000e-07  4.15188143e-01 
 2.02280000e-07  4.15069394e-01 
 2.03280000e-07  4.15134656e-01 
 2.04280000e-07  4.15018284e-01 
 2.05280000e-07  4.15083456e-01 
 2.06280000e-07  4.14969406e-01 
 2.07280000e-07  4.15034467e-01 
 2.08280000e-07  4.14922685e-01 
 2.09280000e-07  4.14987619e-01 
 2.10280000e-07  4.14878051e-01 
 2.11280000e-07  4.14942840e-01 
 2.12280000e-07  4.14835438e-01 
 2.13280000e-07  4.14900066e-01 
 2.14280000e-07  4.14794779e-01 
 2.15280000e-07  4.14859232e-01 
 2.16280000e-07  4.14756013e-01 
 2.17280000e-07  4.14820276e-01 
 2.18280000e-07  4.14719080e-01 
 2.19280000e-07  4.14783140e-01 
 2.20280000e-07  4.14683922e-01 
 2.21280000e-07  4.14747767e-01 
 2.22280000e-07  4.14650483e-01 
 2.23280000e-07  4.14714102e-01 
 2.24280000e-07  4.14618711e-01 
 2.25280000e-07  4.14682093e-01 
 2.26280000e-07  4.14588553e-01 
 2.27280000e-07  4.14651689e-01 
 2.28280000e-07  4.14559960e-01 
 2.29280000e-07  4.14622840e-01 
 2.30280000e-07  4.14532884e-01 
 2.31280000e-07  4.14595501e-01 
 2.32280000e-07  4.14507281e-01 
 2.33280000e-07  4.14569626e-01 
 2.34280000e-07  4.14483105e-01 
 2.35280000e-07  4.14545171e-01 
 2.36280000e-07  4.14460314e-01 
 2.37280000e-07  4.14522094e-01 
 2.38280000e-07  4.14438868e-01 
 2.39280000e-07  4.14500356e-01 
 2.40280000e-07  4.14418725e-01 
 2.41280000e-07  4.14479916e-01 
 2.42280000e-07  4.14399850e-01 
 2.43280000e-07  4.14460738e-01 
 2.44280000e-07  4.14382205e-01 
 2.45280000e-07  4.14442786e-01 
 2.46280000e-07  4.14365754e-01 
 2.47280000e-07  4.14426024e-01 
 2.48280000e-07  4.14350464e-01 
 2.49280000e-07  4.14410419e-01 
 2.50280000e-07  4.14336302e-01 
 2.51280000e-07  4.14395939e-01 
 2.52280000e-07  4.14323236e-01 
 2.53280000e-07  4.14382552e-01 
 2.54280000e-07  4.14311237e-01 
 2.55280000e-07  4.14370228e-01 
 2.56280000e-07  4.14300273e-01 
 2.57280000e-07  4.14358939e-01 
 2.58280000e-07  4.14290317e-01 
 2.59280000e-07  4.14348654e-01 
 2.60280000e-07  4.14281341e-01 
 2.61280000e-07  4.14339349e-01 
 2.62280000e-07  4.14273320e-01 
 2.63280000e-07  4.14330996e-01 
 2.64280000e-07  4.14266226e-01 
 2.65280000e-07  4.14323571e-01 
 2.66280000e-07  4.14260036e-01 
 2.67280000e-07  4.14317048e-01 
 2.68280000e-07  4.14254727e-01 
 2.69280000e-07  4.14311405e-01 
 2.70280000e-07  4.14250274e-01 
 2.71280000e-07  4.14306618e-01 
 2.72280000e-07  4.14246655e-01 
 2.73280000e-07  4.14302665e-01 
 2.74280000e-07  4.14243849e-01 
 2.75280000e-07  4.14299525e-01 
 2.76280000e-07  4.14241836e-01 
 2.77280000e-07  4.14297178e-01 
 2.78280000e-07  4.14240594e-01 
 2.79280000e-07  4.14295603e-01 
 2.80280000e-07  4.14240105e-01 
 2.81280000e-07  4.14294781e-01 
 2.82280000e-07  4.14240350e-01 
 2.83280000e-07  4.14294694e-01 
 2.84280000e-07  4.14241310e-01 
 2.85280000e-07  4.14295323e-01 
 2.86280000e-07  4.14242968e-01 
 2.87280000e-07  4.14296652e-01 
 2.88280000e-07  4.14245307e-01 
 2.89280000e-07  4.14298662e-01 
 2.90280000e-07  4.14248311e-01 
 2.91280000e-07  4.14301338e-01 
 2.92280000e-07  4.14251963e-01 
 2.93280000e-07  4.14304664e-01 
 2.94280000e-07  4.14256248e-01 
 2.95280000e-07  4.14308625e-01 
 2.96280000e-07  4.14261150e-01 
 2.97280000e-07  4.14313204e-01 
 2.98280000e-07  4.14266656e-01 
 2.99280000e-07  4.14318390e-01 
 3.00280000e-07  4.14272752e-01 
 3.01280000e-07  4.14324166e-01 
 3.02280000e-07  4.14279423e-01 
 3.03280000e-07  4.14330520e-01 
 3.04280000e-07  4.14286657e-01 
 3.05280000e-07  4.14337438e-01 
 3.06280000e-07  4.14294440e-01 
 3.07280000e-07  4.14344908e-01 
 3.08280000e-07  4.14302760e-01 
 3.09280000e-07  4.14352917e-01 
 3.10280000e-07  4.14311605e-01 
 3.11280000e-07  4.14361454e-01 
 3.12280000e-07  4.14320964e-01 
 3.13280000e-07  4.14370506e-01 
 3.14280000e-07  4.14330825e-01 
 3.15280000e-07  4.14380063e-01 
 3.16280000e-07  4.14341177e-01 
 3.17280000e-07  4.14390113e-01 
 3.18280000e-07  4.14352009e-01 
 3.19280000e-07  4.14400645e-01 
 3.20280000e-07  4.14363311e-01 
 3.21280000e-07  4.14411650e-01 
 3.22280000e-07  4.14375072e-01 
 3.23280000e-07  4.14423117e-01 
 3.24280000e-07  4.14387284e-01 
 3.25280000e-07  4.14435037e-01 
 3.26280000e-07  4.14399936e-01 
 3.27280000e-07  4.14447400e-01 
 3.28280000e-07  4.14413019e-01 
 3.29280000e-07  4.14460196e-01 
 3.30280000e-07  4.14426524e-01 
 3.31280000e-07  4.14473416e-01 
 3.32280000e-07  4.14440443e-01 
 3.33280000e-07  4.14487053e-01 
 3.34280000e-07  4.14454766e-01 
 3.35280000e-07  4.14501097e-01 
 3.36280000e-07  4.14469486e-01 
 3.37280000e-07  4.14515540e-01 
 3.38280000e-07  4.14484593e-01 
 3.39280000e-07  4.14530375e-01 
 3.40280000e-07  4.14500082e-01 
 3.41280000e-07  4.14545592e-01 
 3.42280000e-07  4.14515944e-01 
 3.43280000e-07  4.14561185e-01 
 3.44280000e-07  4.14532170e-01 
 3.45280000e-07  4.14577146e-01 
 3.46280000e-07  4.14548755e-01 
 3.47280000e-07  4.14593468e-01 
 3.48280000e-07  4.14565691e-01 
 3.49280000e-07  4.14610143e-01 
 3.50280000e-07  4.14582971e-01 
 3.51280000e-07  4.14627166e-01 
 3.52280000e-07  4.14600589e-01 
 3.53280000e-07  4.14644529e-01 
 3.54280000e-07  4.14618538e-01 
 3.55280000e-07  4.14662225e-01 
 3.56280000e-07  4.14636811e-01 
 3.57280000e-07  4.14680249e-01 
 3.58280000e-07  4.14655402e-01 
 3.59280000e-07  4.14698593e-01 
 3.60280000e-07  4.14674306e-01 
 3.61280000e-07  4.14717252e-01 
 3.62280000e-07  4.14693516e-01 
 3.63280000e-07  4.14736221e-01 
 3.64280000e-07  4.14713027e-01 
 3.65280000e-07  4.14755493e-01 
 3.66280000e-07  4.14732833e-01 
 3.67280000e-07  4.14775062e-01 
 3.68280000e-07  4.14752928e-01 
 3.69280000e-07  4.14794924e-01 
 3.70280000e-07  4.14773307e-01 
 3.71280000e-07  4.14815072e-01 
 3.72280000e-07  4.14793966e-01 
 3.73280000e-07  4.14835502e-01 
 3.74280000e-07  4.14814897e-01 
 3.75280000e-07  4.14856208e-01 
 3.76280000e-07  4.14836098e-01 
 3.77280000e-07  4.14877185e-01 
 3.78280000e-07  4.14857563e-01 
 3.79280000e-07  4.14898429e-01 
 3.80280000e-07  4.14879287e-01 
 3.81280000e-07  4.14919935e-01 
 3.82280000e-07  4.14901265e-01 
 3.83280000e-07  4.14941697e-01 
 3.84280000e-07  4.14923493e-01 
 3.85280000e-07  4.14963712e-01 
 3.86280000e-07  4.14945966e-01 
 3.87280000e-07  4.14985975e-01 
 3.88280000e-07  4.14968681e-01 
 3.89280000e-07  4.15008482e-01 
 3.90280000e-07  4.14991633e-01 
 3.91280000e-07  4.15031228e-01 
 3.92280000e-07  4.15014818e-01 
 3.93280000e-07  4.15054209e-01 
 3.94280000e-07  4.15038231e-01 
 3.95280000e-07  4.15077421e-01 
 3.96280000e-07  4.15061869e-01 
 3.97280000e-07  4.15100861e-01 
