time,v(vpre)
0.00000000e+00,8.31643525e-01
1.00000000e-09,8.31644776e-01
2.00000000e-09,8.31646605e-01
4.00000000e-09,8.31644186e-01
8.00000000e-09,8.31648481e-01
1.60000000e-08,8.31642664e-01
3.20000000e-08,8.31649373e-01
6.40000000e-08,8.31642029e-01
1.28000000e-07,8.31649519e-01
2.28000000e-07,8.31641737e-01
3.28000000e-07,8.31649600e-01
4.28000000e-07,8.31641636e-01
5.28000000e-07,8.31649802e-01
6.28000000e-07,8.31641587e-01
7.28000000e-07,8.31650037e-01
8.28000000e-07,8.31641549e-01
9.28000000e-07,8.31650284e-01
1.02800000e-06,8.31641510e-01
1.12800000e-06,8.31650538e-01
1.22800000e-06,8.31641467e-01
1.32800000e-06,8.31650799e-01
1.42800000e-06,8.31641423e-01
1.52800000e-06,8.31651069e-01
1.62800000e-06,8.31641376e-01
1.72800000e-06,8.31651345e-01
1.82800000e-06,8.31641325e-01
1.92800000e-06,8.31651628e-01
2.02800000e-06,8.31641268e-01
2.12800000e-06,8.31651916e-01
2.22800000e-06,8.31641207e-01
2.32800000e-06,8.31652212e-01
2.42800000e-06,8.31641140e-01
2.52800000e-06,8.31652513e-01
2.62800000e-06,8.31641066e-01
2.72800000e-06,8.31652821e-01
2.82800000e-06,8.31640988e-01
2.92800000e-06,8.31653136e-01
3.02800000e-06,8.31640903e-01
3.12800000e-06,8.31653459e-01
3.22800000e-06,8.31640813e-01
3.32800000e-06,8.31653790e-01
3.42800000e-06,8.31640717e-01
3.52800000e-06,8.31654130e-01
3.62800000e-06,8.31640615e-01
3.72800000e-06,8.31654476e-01
3.82800000e-06,8.31640504e-01
3.92800000e-06,8.31654831e-01
4.02800000e-06,8.31640388e-01
4.12800000e-06,8.31655195e-01
4.22800000e-06,8.31640264e-01
4.32800000e-06,8.31655568e-01
4.42800000e-06,8.31640133e-01
4.52800000e-06,8.31655951e-01
4.62800000e-06,8.31639993e-01
4.72800000e-06,8.31656341e-01
4.82800000e-06,8.31639845e-01
4.92800000e-06,8.31656742e-01
5.02800000e-06,8.31639689e-01
5.12800000e-06,8.31657153e-01
5.22800000e-06,8.31639524e-01
5.32800000e-06,8.31657573e-01
5.42800000e-06,8.31639349e-01
5.52800000e-06,8.31658004e-01
5.62800000e-06,8.31639165e-01
5.72800000e-06,8.31658445e-01
5.82800000e-06,8.31638970e-01
5.92800000e-06,8.31658898e-01
6.02800000e-06,8.31638766e-01
6.12800000e-06,8.31659363e-01
6.22800000e-06,8.31638552e-01
6.32800000e-06,8.31659840e-01
6.42800000e-06,8.31638326e-01
6.52800000e-06,8.31660329e-01
6.62800000e-06,8.31638089e-01
6.72800000e-06,8.31660830e-01
6.82800000e-06,8.31637840e-01
6.92800000e-06,8.31661344e-01
7.02800000e-06,8.31637577e-01
7.12800000e-06,8.31661870e-01
7.22800000e-06,8.31637302e-01
7.32800000e-06,8.31662411e-01
7.42800000e-06,8.31637015e-01
7.52800000e-06,8.31662967e-01
7.62800000e-06,8.31636714e-01
7.72800000e-06,8.31663538e-01
7.82800000e-06,8.31636399e-01
7.92800000e-06,8.31664123e-01
8.02800000e-06,8.31636069e-01
8.12800000e-06,8.31664725e-01
8.22800000e-06,8.31635726e-01
8.32800000e-06,8.31665345e-01
8.42800000e-06,8.31635368e-01
8.52800000e-06,8.31665981e-01
8.62800000e-06,8.31634993e-01
8.72800000e-06,8.31666634e-01
8.82800000e-06,8.31634601e-01
8.92800000e-06,8.31667305e-01
9.02800000e-06,8.31634192e-01
9.12800000e-06,8.31667995e-01
9.22800000e-06,8.31633767e-01
9.32800000e-06,8.31668705e-01
9.42800000e-06,8.31633322e-01
9.52800000e-06,8.31669434e-01
9.62800000e-06,8.31632860e-01
9.72800000e-06,8.31670185e-01
9.82800000e-06,8.31632378e-01
9.92800000e-06,8.31670957e-01
1.00280000e-05,8.31631876e-01
