 time            v(vpre)        
 0.00000000e+00  9.49421504e-01 
 1.00000000e-10  9.49423703e-01 
 2.00000000e-10  9.49423458e-01 
 4.00000000e-10  9.49420858e-01 
 8.00000000e-10  9.49399288e-01 
 1.60000000e-09  9.49649512e-01 
 3.20000000e-09  9.48916359e-01 
 6.40000000e-09  9.50167662e-01 
 1.28000000e-08  9.48472209e-01 
 2.28000000e-08  9.50426336e-01 
 3.28000000e-08  9.48213035e-01 
 4.28000000e-08  9.50722077e-01 
 5.28000000e-08  9.47856010e-01 
 6.28000000e-08  9.51077197e-01 
 7.28000000e-08  9.47389056e-01 
 8.28000000e-08  9.51642656e-01 
 9.28000000e-08  9.46954276e-01 
 1.02800000e-07  9.52280086e-01 
 1.12800000e-07  9.46257304e-01 
 1.22800000e-07  9.53099590e-01 
 1.32800000e-07  9.45363516e-01 
 1.42800000e-07  9.54155322e-01 
 1.52800000e-07  9.44219558e-01 
 1.62800000e-07  9.55518567e-01 
 1.72800000e-07  9.42758903e-01 
 1.82800000e-07  9.57284478e-01 
 1.92800000e-07  9.40900467e-01 
 2.02800000e-07  9.59583042e-01 
 2.12800000e-07  9.38550466e-01 
 2.22800000e-07  9.62598626e-01 
 2.32800000e-07  9.35615823e-01 
 2.42800000e-07  9.66372534e-01 
 2.52800000e-07  9.32075240e-01 
 2.62800000e-07  9.71401729e-01 
 2.72800000e-07  9.26748119e-01 
 2.82800000e-07  9.78091990e-01 
 2.92800000e-07  9.20560994e-01 
 3.02800000e-07  9.87027830e-01 
 3.12800000e-07  9.12940280e-01 
 3.22800000e-07  9.99228955e-01 
 3.32800000e-07  9.02630558e-01 
 3.42800000e-07  1.01619674e+00 
 3.52800000e-07  1.79979367e+00 
 3.60161905e-07  1.80006021e+00 
 3.68120999e-07  1.79994824e+00 
 3.78120999e-07  1.80003597e+00 
 3.87286139e-07  1.79996709e+00 
 3.97286139e-07  1.80002661e+00 
 4.07286139e-07  1.79997623e+00 
 4.17286139e-07  1.80002150e+00 
 4.27286139e-07  1.79998229e+00 
 4.37286139e-07  1.80001851e+00 
 4.47286139e-07  1.79998731e+00 
 4.57286139e-07  1.80001793e+00 
 4.67286139e-07  1.79999425e+00 
 4.77286139e-07  1.80002618e+00 
 4.87286139e-07  1.80001836e+00 
 4.97286139e-07  1.80006059e+00 
 5.07286139e-07  1.79953318e+00 
 5.17286139e-07  6.48001777e-01 
 5.23520138e-07  2.55856984e-01 
 5.28882771e-07  2.86428811e-01 
 5.32537670e-07  3.17541896e-01 
 5.36450894e-07  3.13183167e-01 
 5.40064748e-07  3.22339879e-01 
 5.44232223e-07  3.22235171e-01 
 5.49578740e-07  3.26438053e-01 
 5.56656764e-07  3.27505455e-01 
 5.66656764e-07  3.29956341e-01 
 5.76656764e-07  3.30502863e-01 
 5.86656764e-07  3.31394988e-01 
 5.96656764e-07  3.31625911e-01 
 6.06656764e-07  3.31946203e-01 
 6.16656764e-07  3.32138269e-01 
 6.26656764e-07  3.32196144e-01 
 6.36656764e-07  3.32432376e-01 
 6.46656764e-07  3.32353909e-01 
 6.56656764e-07  3.32648572e-01 
 6.66656764e-07  3.32491737e-01 
 6.76656764e-07  3.32839786e-01 
 6.86656764e-07  3.32634054e-01 
 6.96656764e-07  3.33025863e-01 
 7.06656764e-07  3.32787461e-01 
 7.16656764e-07  3.33213429e-01 
 7.26656764e-07  3.32951916e-01 
 7.36656764e-07  3.33403790e-01 
 7.46656764e-07  3.33125147e-01 
 7.56656764e-07  3.33596245e-01 
 7.66656764e-07  3.33304418e-01 
 7.76656764e-07  3.33789478e-01 
 7.86656764e-07  3.33487198e-01 
 7.96656764e-07  3.33982147e-01 
 8.06656764e-07  3.33671369e-01 
 8.16656764e-07  3.34173083e-01 
 8.26656764e-07  3.33855262e-01 
 8.36656764e-07  3.34361357e-01 
 8.46656764e-07  3.34037596e-01 
 8.56656764e-07  3.34546270e-01 
 8.66656764e-07  3.34217424e-01 
 8.76656764e-07  3.34727314e-01 
 8.86656764e-07  3.34394059e-01 
 8.96656764e-07  3.34904141e-01 
 9.06656764e-07  3.34567014e-01 
 9.16656764e-07  3.35076521e-01 
 9.26656764e-07  3.34735958e-01 
 9.36656764e-07  3.35244325e-01 
 9.46656764e-07  3.34900682e-01 
 9.56656764e-07  3.35407490e-01 
 9.66656764e-07  3.35061057e-01 
 9.76656764e-07  3.35566001e-01 
 9.86656764e-07  3.35217024e-01 
 9.96656764e-07  3.35719890e-01 
 1.00665676e-06  3.35368573e-01 
 1.01665676e-06  3.35869208e-01 
 1.02665676e-06  3.35515727e-01 
 1.03665676e-06  3.36014028e-01 
 1.04665676e-06  3.35658537e-01 
 1.05665676e-06  3.36154443e-01 
 1.06665676e-06  3.35797069e-01 
 1.07665676e-06  3.36290544e-01 
 1.08665676e-06  3.35931407e-01 
 1.09665676e-06  3.36422438e-01 
 1.10665676e-06  3.36061640e-01 
 1.11665676e-06  3.36550229e-01 
 1.12665676e-06  3.36187865e-01 
 1.13665676e-06  3.36674026e-01 
 1.14665676e-06  3.36310182e-01 
 1.15665676e-06  3.36793938e-01 
 1.16665676e-06  3.36428690e-01 
 1.17665676e-06  3.36910072e-01 
 1.18665676e-06  3.36543496e-01 
 1.19665676e-06  3.37022541e-01 
 1.20665676e-06  3.36654705e-01 
 1.21665676e-06  3.37131448e-01 
 1.22665676e-06  3.36762415e-01 
 1.23665676e-06  3.37236896e-01 
 1.24665676e-06  3.36866729e-01 
 1.25665676e-06  3.37338990e-01 
