 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.66682598e+00 -6.30553678e-07 
 1.00000000e-11  2.66682598e+00 -6.30553637e-07 
 2.00000000e-11  2.66682598e+00 -6.30553635e-07 
 4.00000000e-11  2.66682598e+00 -6.30553666e-07 
 8.00000000e-11  2.66682598e+00 -6.30553670e-07 
 1.60000000e-10  2.66682598e+00 -6.30553731e-07 
 3.20000000e-10  2.66682598e+00 -6.30553637e-07 
 6.40000000e-10  2.66682598e+00 -6.30553668e-07 
 1.28000000e-09  2.66682598e+00 -6.30553683e-07 
 2.28000000e-09  2.66682598e+00 -6.30553701e-07 
 3.28000000e-09  2.66682598e+00 -6.30553716e-07 
 4.28000000e-09  2.66682598e+00 -6.30553743e-07 
 5.28000000e-09  2.66682598e+00 -6.30553703e-07 
 6.28000000e-09  2.66682598e+00 -6.30553740e-07 
 7.28000000e-09  2.66682598e+00 -6.30553765e-07 
 8.28000000e-09  2.66682598e+00 -6.30553701e-07 
 9.28000000e-09  2.66682598e+00 -6.30553708e-07 
 1.02800000e-08  2.66682598e+00 -6.30553706e-07 
 1.12800000e-08  2.66682598e+00 -6.30553712e-07 
 1.22800000e-08  2.66682598e+00 -6.30553674e-07 
 1.32800000e-08  2.66682598e+00 -6.30553738e-07 
 1.42800000e-08  2.66682598e+00 -6.30553764e-07 
 1.52800000e-08  2.66682598e+00 -6.30553700e-07 
 1.62800000e-08  2.66682598e+00 -6.30553707e-07 
 1.72800000e-08  2.66682598e+00 -6.30553708e-07 
 1.82800000e-08  2.66682598e+00 -6.30553681e-07 
 1.92800000e-08  2.66682598e+00 -6.30553714e-07 
 2.02800000e-08  2.66682598e+00 -6.30553735e-07 
 2.12800000e-08  2.66682598e+00 -6.30553673e-07 
 2.22800000e-08  2.66682598e+00 -6.30553740e-07 
 2.32800000e-08  2.66682598e+00 -6.30553706e-07 
 2.42800000e-08  2.66682598e+00 -6.30553729e-07 
 2.52800000e-08  2.66682598e+00 -6.30553740e-07 
 2.62800000e-08  2.66682598e+00 -6.30553704e-07 
 2.72800000e-08  2.66682598e+00 -6.30553737e-07 
 2.82800000e-08  2.66682598e+00 -6.30553742e-07 
 2.92800000e-08  2.66682598e+00 -6.30553734e-07 
 3.02800000e-08  2.66682598e+00 -6.30553672e-07 
 3.12800000e-08  2.66682598e+00 -6.30553743e-07 
 3.22800000e-08  2.66682598e+00 -6.30553701e-07 
 3.32800000e-08  2.66682598e+00 -6.30553703e-07 
 3.42800000e-08  2.66682598e+00 -6.30553735e-07 
 3.52800000e-08  2.66682598e+00 -6.30553707e-07 
 3.62800000e-08  2.66682598e+00 -6.30553738e-07 
 3.72800000e-08  2.66682598e+00 -6.30553738e-07 
 3.82800000e-08  2.66682598e+00 -6.30553702e-07 
 3.92800000e-08  2.66682598e+00 -6.30553739e-07 
 4.02800000e-08  2.66682598e+00 -6.30553709e-07 
 4.12800000e-08  2.66682598e+00 -6.30553729e-07 
