 time            v(vpre)        
 0.00000000e+00  7.83488187e-01 
 1.00000000e-09  7.83475039e-01 
 2.00000000e-09  7.83510731e-01 
 4.00000000e-09  7.83404156e-01 
 8.00000000e-09  7.83650507e-01 
 1.60000000e-08  7.83278971e-01 
 3.20000000e-08  7.83750893e-01 
 6.40000000e-08  7.83234033e-01 
 1.28000000e-07  7.83788213e-01 
 2.28000000e-07  7.83216520e-01 
 3.28000000e-07  7.83794186e-01 
 4.28000000e-07  7.83198357e-01 
 5.28000000e-07  7.83810844e-01 
 6.28000000e-07  7.83185526e-01 
 7.28000000e-07  7.83828033e-01 
 8.28000000e-07  7.83171867e-01 
 9.28000000e-07  7.83846077e-01 
 1.02800000e-06  7.83157585e-01 
 1.12800000e-06  7.83865074e-01 
 1.22800000e-06  7.83142679e-01 
 1.32800000e-06  7.83885092e-01 
 1.42800000e-06  7.83127137e-01 
 1.52800000e-06  7.83906194e-01 
 1.62800000e-06  7.83110936e-01 
 1.72800000e-06  7.83928443e-01 
 1.82800000e-06  7.83094060e-01 
 1.92800000e-06  7.83951909e-01 
 2.02800000e-06  7.83076489e-01 
 2.12800000e-06  7.83976665e-01 
 2.22800000e-06  7.83058204e-01 
 2.32800000e-06  7.84002787e-01 
 2.42800000e-06  7.83039183e-01 
 2.52800000e-06  7.84030357e-01 
 2.62800000e-06  7.83019411e-01 
 2.72800000e-06  7.84059463e-01 
 2.82800000e-06  7.82998871e-01 
 2.92800000e-06  7.84090198e-01 
 3.02800000e-06  7.82977545e-01 
 3.12800000e-06  7.84122662e-01 
 3.22800000e-06  7.82955419e-01 
 3.32800000e-06  7.84156961e-01 
 3.42800000e-06  7.82932481e-01 
 3.52800000e-06  7.84193208e-01 
 3.62800000e-06  7.82908721e-01 
 3.72800000e-06  7.84231525e-01 
 3.82800000e-06  7.82884131e-01 
 3.92800000e-06  7.84272042e-01 
 4.02800000e-06  7.82858705e-01 
 4.12800000e-06  7.84314897e-01 
 4.22800000e-06  7.82832443e-01 
 4.32800000e-06  7.84360238e-01 
 4.42800000e-06  7.82805348e-01 
 4.52800000e-06  7.84408223e-01 
 4.62800000e-06  7.82777424e-01 
 4.72800000e-06  7.84459019e-01 
 4.82800000e-06  7.82748686e-01 
 4.92800000e-06  7.84512809e-01 
 5.02800000e-06  7.82719151e-01 
 5.12800000e-06  7.84569783e-01 
 5.22800000e-06  7.82688843e-01 
 5.32800000e-06  7.84630148e-01 
 5.42800000e-06  7.82657793e-01 
 5.52800000e-06  7.84694124e-01 
 5.62800000e-06  7.82626045e-01 
 5.72800000e-06  7.84761943e-01 
 5.82800000e-06  7.82593646e-01 
 5.92800000e-06  7.84833858e-01 
 6.02800000e-06  7.82560657e-01 
 6.12800000e-06  7.84910134e-01 
 6.22800000e-06  7.82527151e-01 
 6.32800000e-06  7.84991057e-01 
 6.42800000e-06  7.82493213e-01 
 6.52800000e-06  7.85076928e-01 
 6.62800000e-06  7.82458940e-01 
 6.72800000e-06  7.85168068e-01 
 6.82800000e-06  7.82192591e-01 
 6.92800000e-06  7.85049741e-01 
 7.02800000e-06  7.82133397e-01 
 7.12800000e-06  7.85125123e-01 
 7.22800000e-06  7.82061993e-01 
 7.32800000e-06  7.85199823e-01 
 7.42800000e-06  7.81984761e-01 
 7.52800000e-06  7.85277096e-01 
 7.62800000e-06  7.81903113e-01 
 7.72800000e-06  7.85357879e-01 
 7.82800000e-06  7.81817235e-01 
 7.92800000e-06  7.85442542e-01 
 8.02800000e-06  7.81727011e-01 
 8.12800000e-06  7.85531321e-01 
 8.22800000e-06  7.81632237e-01 
 8.32800000e-06  7.85624427e-01 
 8.42800000e-06  7.81532687e-01 
 8.52800000e-06  7.85722078e-01 
 8.62800000e-06  7.81428118e-01 
 8.72800000e-06  7.85824504e-01 
 8.82800000e-06  7.81318274e-01 
 8.92800000e-06  7.85931945e-01 
 9.02800000e-06  7.81202886e-01 
 9.12800000e-06  7.86044661e-01 
 9.22800000e-06  7.81081674e-01 
 9.32800000e-06  7.86162928e-01 
 9.42800000e-06  7.80954344e-01 
 9.52800000e-06  7.86287043e-01 
 9.62800000e-06  7.80820590e-01 
 9.72800000e-06  7.86417323e-01 
 9.82800000e-06  7.80680091e-01 
 9.92800000e-06  7.86554113e-01 
 1.00280000e-05  7.80532514e-01 
 1.01280000e-05  7.86697788e-01 
 1.02280000e-05  7.80377511e-01 
 1.03280000e-05  7.86848757e-01 
 1.04280000e-05  7.80214721e-01 
 1.05280000e-05  7.87007465e-01 
 1.06280000e-05  7.80043771e-01 
 1.07280000e-05  7.87174412e-01 
 1.08280000e-05  7.79864277e-01 
 1.09280000e-05  7.87350149e-01 
 1.10280000e-05  7.79675842e-01 
 1.11280000e-05  7.87535293e-01 
 1.12280000e-05  7.79478060e-01 
 1.13280000e-05  7.87730543e-01 
 1.14280000e-05  7.79270519e-01 
 1.15280000e-05  7.87936694e-01 
 1.16280000e-05  7.79052799e-01 
 1.17280000e-05  7.88154656e-01 
 1.18280000e-05  7.78824484e-01 
 1.19280000e-05  7.88385485e-01 
 1.20280000e-05  7.78585162e-01 
 1.21280000e-05  7.88630411e-01 
 1.22280000e-05  7.78334430e-01 
 1.23280000e-05  7.88890879e-01 
 1.24280000e-05  7.78071911e-01 
 1.25280000e-05  7.89168605e-01 
 1.26280000e-05  7.77797260e-01 
 1.27280000e-05  7.89465639e-01 
 1.28280000e-05  7.77510185e-01 
 1.29280000e-05  7.89563057e-01 
 1.30280000e-05  7.77211356e-01 
 1.31280000e-05  7.89845111e-01 
 1.32280000e-05  7.76899760e-01 
 1.33280000e-05  7.90136691e-01 
 1.34280000e-05  7.76572888e-01 
 1.35280000e-05  7.90440594e-01 
 1.36280000e-05  7.76032384e-01 
 1.37280000e-05  7.90766341e-01 
 1.38280000e-05  7.75631114e-01 
 1.39280000e-05  7.91102004e-01 
 1.40280000e-05  7.75203958e-01 
 1.41280000e-05  7.91452410e-01 
 1.42280000e-05  7.74751453e-01 
 1.43280000e-05  7.91819537e-01 
 1.44280000e-05  7.74272416e-01 
 1.45280000e-05  7.92204955e-01 
 1.46280000e-05  7.73765135e-01 
 1.47280000e-05  7.92610477e-01 
 1.48280000e-05  7.73227638e-01 
 1.49280000e-05  7.93038491e-01 
 1.50280000e-05  7.72657727e-01 
 1.51280000e-05  7.93492313e-01 
 1.52280000e-05  7.72052956e-01 
 1.53280000e-05  7.93976729e-01 
 1.54280000e-05  7.71410597e-01 
 1.55280000e-05  7.94498840e-01 
 1.56280000e-05  7.70727563e-01 
 1.57280000e-05  7.94879398e-01 
 1.58280000e-05  7.70012321e-01 
 1.59280000e-05  7.95399520e-01 
 1.60280000e-05  7.69247020e-01 
 1.61280000e-05  7.95941191e-01 
 1.62280000e-05  7.68432038e-01 
 1.63280000e-05  7.96508078e-01 
 1.64280000e-05  7.67565031e-01 
 1.65280000e-05  7.97103753e-01 
 1.66280000e-05  7.66642631e-01 
 1.67280000e-05  7.97733790e-01 
 1.68280000e-05  7.65661051e-01 
 1.69280000e-05  7.98408037e-01 
 1.70280000e-05  7.64616256e-01 
 1.71280000e-05  7.99026197e-01 
 1.72280000e-05  7.63325712e-01 
 1.73280000e-05  7.99736594e-01 
 1.74280000e-05  7.62069738e-01 
 1.75280000e-05  8.00476632e-01 
 1.76280000e-05  7.60707995e-01 
 1.77280000e-05  8.01256690e-01 
 1.78280000e-05  7.59229834e-01 
 1.79280000e-05  8.02122953e-01 
 1.80280000e-05  7.57619181e-01 
 1.81280000e-05  1.79974121e+00 
 1.82138676e-05  1.80025899e+00 
 1.82968628e-05  4.72357842e-01 
 1.83148124e-05  4.44870767e-01 
 1.83398922e-05  4.23815795e-01 
 1.83624996e-05  4.13524936e-01 
 1.84077143e-05  3.97731551e-01 
 1.84981436e-05  3.81027262e-01 
 1.85981436e-05  3.69295136e-01 
 1.86981436e-05  3.62328388e-01 
 1.87981436e-05  3.55984867e-01 
 1.88981436e-05  3.52041794e-01 
 1.89981436e-05  3.47736389e-01 
 1.90981436e-05  3.45272303e-01 
 1.91981436e-05  3.42110932e-01 
 1.92981436e-05  3.40519154e-01 
 1.93981436e-05  3.38080166e-01 
 1.94981436e-05  3.37055231e-01 
 1.95981436e-05  3.35108176e-01 
 1.96981436e-05  3.34473111e-01 
 1.97981436e-05  3.32877431e-01 
 1.98981436e-05  3.32520081e-01 
 1.99981436e-05  3.31183539e-01 
 2.00981436e-05  3.31028430e-01 
 2.01981436e-05  3.29887380e-01 
 2.02981436e-05  3.29881565e-01 
 2.03981436e-05  3.28890517e-01 
 2.04981436e-05  3.28995763e-01 
 2.05981436e-05  3.28121332e-01 
 2.06981436e-05  3.28309408e-01 
 2.07981436e-05  3.27526683e-01 
 2.08981436e-05  3.27776492e-01 
 2.09981436e-05  3.27066619e-01 
 2.10981436e-05  3.27362210e-01 
 2.11981436e-05  3.26710774e-01 
 2.12981436e-05  3.27039971e-01 
 2.13981436e-05  3.26435856e-01 
 2.14981436e-05  3.26789369e-01 
 2.15981436e-05  3.26223980e-01 
 2.16981436e-05  3.26594640e-01 
 2.17981436e-05  3.26061211e-01 
 2.18981436e-05  3.26443491e-01 
 2.19981436e-05  3.25936772e-01 
 2.20981436e-05  3.26326434e-01 
 2.21981436e-05  3.25842288e-01 
 2.22981436e-05  3.26236064e-01 
 2.23981436e-05  3.25771211e-01 
 2.24981436e-05  3.26166582e-01 
 2.25981436e-05  3.25718427e-01 
 2.26981436e-05  3.26113474e-01 
 2.27981436e-05  3.25679955e-01 
 2.28981436e-05  3.26073189e-01 
 2.29981436e-05  3.25652648e-01 
 2.30981436e-05  3.26042986e-01 
 2.31981436e-05  3.25634109e-01 
 2.32981436e-05  3.26020696e-01 
 2.33981436e-05  3.25622395e-01 
 2.34981436e-05  3.26004603e-01 
 2.35981436e-05  3.25615991e-01 
 2.36981436e-05  3.25993373e-01 
 2.37981436e-05  3.25613737e-01 
 2.38981436e-05  3.25985969e-01 
 2.39981436e-05  3.25614715e-01 
 2.40981436e-05  3.25981573e-01 
 2.41981436e-05  3.25618203e-01 
 2.42981436e-05  3.25979545e-01 
 2.43981436e-05  3.25623623e-01 
 2.44981436e-05  3.25979382e-01 
 2.45981436e-05  3.25630573e-01 
 2.46981436e-05  3.25980712e-01 
 2.47981436e-05  3.25638685e-01 
 2.48981436e-05  3.25983188e-01 
 2.49981436e-05  3.25647666e-01 
 2.50981436e-05  3.25986587e-01 
 2.51981436e-05  3.25657347e-01 
 2.52981436e-05  3.25990727e-01 
 2.53981436e-05  3.25667545e-01 
 2.54981436e-05  3.25995460e-01 
 2.55981436e-05  3.25678126e-01 
 2.56981436e-05  3.26000649e-01 
 2.57981436e-05  3.25688996e-01 
 2.58981436e-05  3.26006214e-01 
 2.59981436e-05  3.25700067e-01 
 2.60981436e-05  3.26012076e-01 
 2.61981436e-05  3.25711287e-01 
 2.62981436e-05  3.26018195e-01 
 2.63981436e-05  3.25722613e-01 
 2.64981436e-05  3.26024504e-01 
 2.65981436e-05  3.25733981e-01 
 2.66981436e-05  3.26030966e-01 
 2.67981436e-05  3.25745377e-01 
 2.68981436e-05  3.26037563e-01 
 2.69981436e-05  3.25756796e-01 
 2.70981436e-05  3.26044293e-01 
 2.71981436e-05  3.25768230e-01 
 2.72981436e-05  3.26051149e-01 
 2.73981436e-05  3.25779655e-01 
 2.74981436e-05  3.26058079e-01 
 2.75981436e-05  3.25791052e-01 
 2.76981436e-05  3.26065083e-01 
 2.77981436e-05  3.25802406e-01 
 2.78981436e-05  3.26072171e-01 
 2.79981436e-05  3.25813754e-01 
 2.80981436e-05  3.26079318e-01 
 2.81981436e-05  3.25825052e-01 
 2.82981436e-05  3.26086533e-01 
 2.83981436e-05  3.25836304e-01 
 2.84981436e-05  3.26093784e-01 
 2.85981436e-05  3.25847508e-01 
 2.86981436e-05  3.26101073e-01 
 2.87981436e-05  3.25858661e-01 
 2.88981436e-05  3.26108422e-01 
 2.89981436e-05  3.25869764e-01 
 2.90981436e-05  3.26115800e-01 
 2.91981436e-05  3.25880837e-01 
 2.92981436e-05  3.26123242e-01 
 2.93981436e-05  3.25891864e-01 
 2.94981436e-05  3.26130715e-01 
 2.95981436e-05  3.25902840e-01 
 2.96981436e-05  3.26138226e-01 
 2.97981436e-05  3.25913785e-01 
 2.98981436e-05  3.26145780e-01 
 2.99981436e-05  3.25924672e-01 
 3.00981436e-05  3.26153374e-01 
 3.01981436e-05  3.25935542e-01 
 3.02981436e-05  3.26161000e-01 
