 time            v(vpre)        
 0.00000000e+00  7.53815249e-01 
 1.00000000e-09  7.53814311e-01 
 2.00000000e-09  7.53819385e-01 
 4.00000000e-09  7.53776037e-01 
 8.00000000e-09  7.53908636e-01 
 1.60000000e-08  7.53677321e-01 
 3.20000000e-08  7.53991904e-01 
 6.40000000e-08  7.53633371e-01 
 1.28000000e-07  7.54025198e-01 
 2.28000000e-07  7.53617555e-01 
 3.28000000e-07  7.54034332e-01 
 4.28000000e-07  7.53601495e-01 
 5.28000000e-07  7.54049821e-01 
 6.28000000e-07  7.53587953e-01 
 7.28000000e-07  7.54066228e-01 
 8.28000000e-07  7.53573445e-01 
 9.28000000e-07  7.54083774e-01 
 1.02800000e-06  7.53558035e-01 
 1.12800000e-06  7.54102575e-01 
 1.22800000e-06  7.53541689e-01 
 1.32800000e-06  7.54122733e-01 
 1.42800000e-06  7.53524361e-01 
 1.52800000e-06  7.54144354e-01 
 1.62800000e-06  7.53506004e-01 
 1.72800000e-06  7.54167552e-01 
 1.82800000e-06  7.53486566e-01 
 1.92800000e-06  7.54192450e-01 
 2.02800000e-06  7.53465997e-01 
 2.12800000e-06  7.54219180e-01 
 2.22800000e-06  7.53444243e-01 
 2.32800000e-06  7.54247887e-01 
 2.42800000e-06  7.53421255e-01 
 2.52800000e-06  7.54278730e-01 
 2.62800000e-06  7.53396981e-01 
 2.72800000e-06  7.54311878e-01 
 2.82800000e-06  7.53371369e-01 
 2.92800000e-06  7.54347516e-01 
 3.02800000e-06  7.53344372e-01 
 3.12800000e-06  7.54385848e-01 
 3.22800000e-06  7.53315944e-01 
 3.32800000e-06  7.54427094e-01 
 3.42800000e-06  7.53286043e-01 
 3.52800000e-06  7.54471492e-01 
 3.62800000e-06  7.53254628e-01 
 3.72800000e-06  7.54519304e-01 
 3.82800000e-06  7.53221669e-01 
 3.92800000e-06  7.54570814e-01 
 4.02800000e-06  7.53187142e-01 
 4.12800000e-06  7.54626330e-01 
 4.22800000e-06  7.53151028e-01 
 4.32800000e-06  7.54686189e-01 
 4.42800000e-06  7.53113325e-01 
 4.52800000e-06  7.54750760e-01 
 4.62800000e-06  7.53074043e-01 
 4.72800000e-06  7.54820442e-01 
 4.82800000e-06  7.53033206e-01 
 4.92800000e-06  7.54895670e-01 
 5.02800000e-06  7.52990859e-01 
 5.12800000e-06  7.54976919e-01 
 5.22800000e-06  7.52947071e-01 
 5.32800000e-06  7.55064704e-01 
 5.42800000e-06  7.52901937e-01 
 5.52800000e-06  7.55159584e-01 
 5.62800000e-06  7.52855583e-01 
 5.72800000e-06  7.55262168e-01 
 5.82800000e-06  7.52595922e-01 
 5.92800000e-06  7.55176357e-01 
 6.02800000e-06  7.52517686e-01 
 6.12800000e-06  7.55266316e-01 
 6.22800000e-06  7.52427282e-01 
 6.32800000e-06  7.55358927e-01 
 6.42800000e-06  7.52328947e-01 
 6.52800000e-06  7.55456798e-01 
 6.62800000e-06  7.52223440e-01 
 6.72800000e-06  7.55560916e-01 
 6.82800000e-06  7.52110593e-01 
 6.92800000e-06  7.55671861e-01 
