 time            v(n.x4.xr1.n1#ngap) i(v10)         
 0.00000000e+00  2.66503577e+00 -6.28017012e-07 
 1.00000000e-11  2.66503577e+00 -6.28016978e-07 
 2.00000000e-11  2.66503577e+00 -6.28016980e-07 
 4.00000000e-11  2.66503577e+00 -6.28017010e-07 
 8.00000000e-11  2.66503577e+00 -6.28017062e-07 
 1.60000000e-10  2.66503577e+00 -6.28016963e-07 
 3.20000000e-10  2.66503577e+00 -6.28016969e-07 
 6.40000000e-10  2.66503577e+00 -6.28017012e-07 
 1.28000000e-09  2.66503577e+00 -6.28017035e-07 
 2.28000000e-09  2.66503577e+00 -6.28017077e-07 
 3.28000000e-09  2.66503577e+00 -6.28017046e-07 
 4.28000000e-09  2.66503577e+00 -6.28017007e-07 
 5.28000000e-09  2.66503577e+00 -6.28017040e-07 
 6.28000000e-09  2.66503577e+00 -6.28017041e-07 
 7.28000000e-09  2.66503577e+00 -6.28017037e-07 
 8.28000000e-09  2.66503577e+00 -6.28017011e-07 
 9.28000000e-09  2.66503577e+00 -6.28017048e-07 
 1.02800000e-08  2.66503577e+00 -6.28017045e-07 
 1.12800000e-08  2.66503577e+00 -6.28017045e-07 
 1.22800000e-08  2.66503577e+00 -6.28017071e-07 
 1.32800000e-08  2.66503577e+00 -6.28017105e-07 
 1.42800000e-08  2.66503577e+00 -6.28017040e-07 
 1.52800000e-08  2.66503577e+00 -6.28017076e-07 
 1.62800000e-08  2.66503577e+00 -6.28017048e-07 
 1.72800000e-08  2.66503577e+00 -6.28017105e-07 
 1.82800000e-08  2.66503577e+00 -6.28017043e-07 
 1.92800000e-08  2.66503577e+00 -6.28017095e-07 
 2.02800000e-08  2.66503577e+00 -6.28017060e-07 
 2.12800000e-08  2.66503577e+00 -6.28017091e-07 
 2.22800000e-08  2.66503577e+00 -6.28017073e-07 
 2.32800000e-08  2.66503577e+00 -6.28017097e-07 
 2.42800000e-08  2.66503577e+00 -6.28017077e-07 
 2.52800000e-08  2.66503577e+00 -6.28017070e-07 
 2.62800000e-08  2.66503577e+00 -6.28017064e-07 
 2.72800000e-08  2.66503577e+00 -6.28017069e-07 
 2.82800000e-08  2.66503577e+00 -6.28017039e-07 
 2.92800000e-08  2.66503577e+00 -6.28017095e-07 
 3.02800000e-08  2.66503577e+00 -6.28017040e-07 
 3.12800000e-08  2.66503577e+00 -6.28017069e-07 
 3.22800000e-08  2.66503577e+00 -6.28017069e-07 
 3.32800000e-08  2.66503577e+00 -6.28017070e-07 
 3.42800000e-08  2.66503577e+00 -6.28017065e-07 
 3.52800000e-08  2.66503577e+00 -6.28017042e-07 
 3.62800000e-08  2.66503577e+00 -6.28017097e-07 
 3.72800000e-08  2.66503577e+00 -6.28017040e-07 
 3.82800000e-08  2.66503577e+00 -6.28017097e-07 
 3.92800000e-08  2.66503577e+00 -6.28017043e-07 
 4.02800000e-08  2.66503577e+00 -6.28017039e-07 
 4.12800000e-08  2.66503577e+00 -6.28017097e-07 
 4.22800000e-08  2.66503577e+00 -6.28017074e-07 
 4.32800000e-08  2.66503577e+00 -6.28017061e-07 
 4.42800000e-08  2.66503577e+00 -6.28017048e-07 
 4.52800000e-08  2.66503577e+00 -6.28017129e-07 
 4.62800000e-08  2.66503577e+00 -6.28017048e-07 
 4.72800000e-08  2.66503577e+00 -6.28017069e-07 
 4.82800000e-08  2.66503577e+00 -6.28017033e-07 
 4.92800000e-08  2.66503577e+00 -6.28017030e-07 
 5.02800000e-08  2.66503577e+00 -6.28017044e-07 
 5.12800000e-08  2.66503577e+00 -6.28017113e-07 
 5.22800000e-08  2.66503577e+00 -6.28017039e-07 
 5.32800000e-08  2.66503577e+00 -6.28017138e-07 
 5.42800000e-08  2.66503577e+00 -6.28017043e-07 
 5.52800000e-08  2.66503577e+00 -6.28017103e-07 
 5.62800000e-08  2.66503577e+00 -6.28017075e-07 
 5.72800000e-08  2.66503577e+00 -6.28017118e-07 
 5.82800000e-08  2.66503577e+00 -6.28017104e-07 
 5.92800000e-08  2.66503577e+00 -6.28017106e-07 
 6.02800000e-08  2.66503577e+00 -6.28017123e-07 
 6.12800000e-08  2.66503577e+00 -6.28017124e-07 
 6.22800000e-08  2.66503577e+00 -6.28017093e-07 
 6.32800000e-08  2.66503577e+00 -6.28017094e-07 
 6.42800000e-08  2.66503577e+00 -6.28017093e-07 
 6.52800000e-08  2.66503577e+00 -6.28017034e-07 
 6.62800000e-08  2.66503577e+00 -6.28017058e-07 
 6.72800000e-08  2.66503577e+00 -6.28017034e-07 
 6.82800000e-08  2.66503577e+00 -6.28017068e-07 
 6.92800000e-08  2.66503577e+00 -6.28017071e-07 
 7.02800000e-08  2.66503577e+00 -6.28017067e-07 
 7.12800000e-08  2.66503577e+00 -6.28017067e-07 
 7.22800000e-08  2.66503577e+00 -6.28017044e-07 
 7.32800000e-08  2.66503577e+00 -6.28017070e-07 
 7.42800000e-08  2.66503577e+00 -6.28017106e-07 
 7.52800000e-08  2.66503577e+00 -6.28017039e-07 
 7.62800000e-08  2.66503577e+00 -6.28017042e-07 
 7.72800000e-08  2.66503577e+00 -6.28017102e-07 
 7.82800000e-08  2.66503577e+00 -6.28017068e-07 
 7.92800000e-08  2.66503577e+00 -6.28017064e-07 
 8.02800000e-08  2.66503577e+00 -6.28017046e-07 
 8.12800000e-08  2.66503577e+00 -6.28017097e-07 
 8.22800000e-08  2.66503577e+00 -6.28017071e-07 
 8.32800000e-08  2.66503577e+00 -6.28017104e-07 
 8.42800000e-08  2.66503577e+00 -6.28017095e-07 
 8.52800000e-08  2.66503577e+00 -6.28017068e-07 
 8.62800000e-08  2.66503577e+00 -6.28017132e-07 
 8.72800000e-08  2.66503577e+00 -6.28017036e-07 
 8.82800000e-08  2.66503577e+00 -6.28017070e-07 
 8.92800000e-08  2.66503577e+00 -6.28017168e-07 
 9.02800000e-08  2.66503577e+00 -6.28017043e-07 
 9.12800000e-08  2.66503577e+00 -6.28017072e-07 
 9.22800000e-08  2.66503577e+00 -6.28017098e-07 
 9.32800000e-08  2.66503577e+00 -6.28017096e-07 
 9.42800000e-08  2.66503577e+00 -6.28017041e-07 
 9.52800000e-08  2.66503577e+00 -6.28017067e-07 
 9.62800000e-08  2.66503577e+00 -6.28017096e-07 
 9.72800000e-08  2.66503577e+00 -6.28017070e-07 
 9.82800000e-08  2.66503577e+00 -6.28017158e-07 
 9.92800000e-08  2.66503577e+00 -6.28017097e-07 
 1.00280000e-07  2.66503577e+00 -6.28017066e-07 
 1.01280000e-07  2.66503577e+00 -6.28017102e-07 
 1.02280000e-07  2.66503577e+00 -6.28017094e-07 
 1.03280000e-07  2.66503577e+00 -6.28017095e-07 
 1.04280000e-07  2.66503577e+00 -6.28017042e-07 
 1.05280000e-07  2.66503577e+00 -6.28017069e-07 
 1.06280000e-07  2.66503577e+00 -6.28017068e-07 
 1.07280000e-07  2.66503577e+00 -6.28017101e-07 
 1.08280000e-07  2.66503577e+00 -6.28017120e-07 
 1.09280000e-07  2.66503577e+00 -6.28017046e-07 
 1.10280000e-07  2.66503577e+00 -6.28017073e-07 
 1.11280000e-07  2.66503577e+00 -6.28017068e-07 
